vector_number,cf_w,cf_hatL,cf_hatR,diag_cf_λ,real_v,shock,non_demean_shock
1001,0.137330877718167,-0.88702782394946,1.0033611963512268,-4.259692543237314,0.4321531750759222,0.006966518661633669,1.0132589762400377
1003,0.09903405014037858,-0.9154635064967276,-0.24678624032176133,-1.5473048587424931,0.30745662357625214,-0.0016353339297427993,1.0046571236486612
1005,0.12579265756240687,-0.05397315231144839,-0.1452143344900958,-1.3821908989183118,0.19774377208461313,-0.0021603138416350642,1.004132143736769
1007,0.12737233023134564,-1.4105434175872733,0.7419953164054416,-4.017637848833388,0.6626412479798338,0.006118469575888019,1.012410927154292
1009,0.1383960063674028,-1.745302506258073,0.4680442696667786,-3.8928128780390536,1.076517728602222,0.005809852797939996,1.012102310376344
1011,0.1254677544077598,-0.426196522268274,0.45394357289321174,-3.1204268902425003,0.4965480760576346,0.003226159810850504,1.0095186173892545
1013,0.11874835216072466,-0.8066489792019071,-0.13032294993681193,-1.680066193214702,0.35221731741381657,-0.0012483317283715767,1.0050441258500324
1015,0.13737329518357377,0.16942912094923823,-0.1996527510839785,-0.9943005481077294,0.04886467465889943,-0.0033367838581619402,1.002955673720242
1017,0.14395126992094998,0.09307146244539322,0.7680472837989338,-3.523669621351233,0.330319582263372,0.004473279840849109,1.0107657374192531
1019,0.14420066321712,-0.9409332200421283,0.7095042127295281,-3.5798410293228167,0.47932526829359556,0.004647068476619776,1.0109395260550238
1021,0.13838435218878065,-1.9968658949078955,0.4973209177659088,-3.522864740217879,0.724247674586298,0.004523390417800366,1.0108158479962044
1023,0.1168243129116675,0.0759568168305691,0.09731030606840996,-1.519262912564856,-0.18169637217919643,-0.001746409664914017,1.00454604791349
1025,0.11482913864533373,0.38881388969773667,-0.3975683049865397,-0.9675136658919725,0.25817049743872555,-0.003412426527169554,1.0028800310512345
1027,0.14066493599327323,-0.7860462167809112,0.1502767266197358,-2.3068358819102297,0.4474074757946811,0.0006676989083922447,1.0069601564867963
1029,0.1484770078592046,-0.3795461378503284,1.017925147622667,-4.0750328609279185,0.3653139346729173,0.006199669426855348,1.0124921270052594
1031,0.12206951241680031,-0.5318707110833265,-0.0054478640962973834,-2.485138189064562,0.7612923383063075,0.0012248745540550665,1.007517332132459
1033,0.1289191350981378,0.8018681568216834,0.6156802016652696,-2.4749249761224057,-0.2915492138036213,0.0011794031736851451,1.0074718607520892
1035,0.1157992739911462,-0.12250896953969193,0.34946925970318343,-2.5766537950952184,0.17950923674738828,0.0015039832773804385,1.0077964408557845
1037,0.13867664561308946,0.18296101178634228,1.4601518761953702,-5.066257255913764,0.30805342948359016,0.009452028301514925,1.015744485879919
1039,0.11508816114391696,-0.5151594904205359,-0.30968285414819663,-0.9934597861427585,0.11391452355693499,-0.003338610362143557,1.0029538472162605
