ALAND,GEOID
1539582278,1001
4117521611,1003
2291818968,1005
1612480789,1007
1669961855,1009
1613056905,1011
2011976894,1013
1569189995,1015
1545009282,1017
1434075952,1019
1794483586,1021
2365954748,1023
3207609488,1025
1564252280,1027
1450652767,1029
1758528786,1031
1534877333,1033
2201894769,1035
1685891075,1037
2668869505,1039
1576888006,1041
1903228333,1043
1453371157,1045
2534807386,1047
2012662359,1049
1601867593,1051
2447746932,1053
1385618994,1055
1625631609,1057
1641587713,1059
1487710425,1061
1676007032,1063
1667803914,1065
1454926258,1067
1501737720,1069
2791664869,1071
2878192209,1073
1566544654,1075
1729327931,1077
1788846568,1079
1573510728,1081
1450228326,1083
1854199648,1085
1577005015,1087
2076116529,1089
2530112461,1091
1922526826,1093
1465522757,1095
3184223082,1097
2656485275,1099
2031190777,1101
1500476319,1103
1863920409,1105
2282837059,1107
1740715643,1109
1503616599,1111
1660545751,1113
1636619393,1115
2032960300,1117
2341057426,1119
1908239516,1121
1855780057,1123
3423328940,1125
2049177420,1127
2797722307,1129
2301200113,1131
1587607882,1133
18083148800,2013
11370762625,2016
4415108963,2020
105075822708,2050
1304947207,2060
33026000538,2068
48092912615,2070
19005874393,2090
6005146534,2100
19489439091,2105
6997968643,2110
41634915224,2122
12583232994,2130
16963331761,2150
61258419419,2164
63734160198,2170
59470685832,2180
229720054439,2185
92132564828,2188
8500293927,2195
10160193695,2198
7434143788,2220
1171515798,2230
64150915284,2240
88680877051,2261
44240705695,2270
6582411037,2275
19812002035,2282
376855656455,2290
29001443825,4001
15969063883,4003
48222689085,4005
12322988718,4007
11972471194,4009
4773673819,4011
11653984341,4012
23828260196,4013
34475546921,4015
25771473007,4017
23794311939,4019
13896869603,4021
3203598541,4023
21039764981,4025
14281174361,4027
2560902522,5001
2396641905,5003
1435587546,5005
2194644508,5007
1528692190,5009
1681500473,5011
1628017155,5013
1631917381,5015
1668740125,5017
2243121932,5019
1656206452,5021
1434055831,5023
1548252069,5025
1984066985,5027
1430319825,5029
1831656075,5031
1536106675,5033
1579271661,5035
1596418434,5037
1728522942,5039
1989504302,5041
2145431293,5043
1678012685,5045
1576932379,5047
1601114128,5049
1755444878,5051
1636376859,5053
1496233476,5055
1884267810,5057
1593367055,5059
1524346632,5061
1978628920,5063
1503686209,5065
1641892684,5067
2255220650,5069
1708883157,5071
1368208312,5073
1521913098,5075
1560780566,5077
1454321132,5079
1378529805,5081
1834034439,5083
1996176993,5085
2160711386,5087
1546245256,5089
1620239736,5091
2332475973,5093
1572439014,5095
2019879948,5097
1600189595,5099
2126110054,5101
1897899921,5103
1428125735,5105
1801758335,5107
1555592368,5109
1964217602,5111
2221377955,5113
2104490517,5115
1678203880,5117
1967777404,5119
1689166005,5121
1644048592,5123
1874124567,5125
2311098364,5127
1725176918,5129
1377643728,5131
1463670417,5133
1565489388,5135
1570581314,5137
2691552718,5139
1834082139,5141
2439681852,5143
2680832626,5145
1519780744,5147
2408647209,5149
1914046110,6001
1912271907,6003
1539962991,6005
4238423238,6007
2641819725,6009
2980379369,6011
1854268836,6013
2606493856,6015
4423396606,6017
15431126407,6019
3403106702,6021
9241044673,6023
10817352524,6025
26368354217,6027
21061565098,6029
3598582308,6031
3254227528,6033
11761612172,6035
10509869649,6037
5534982985,6039
1347585521,6041
3752416976,6043
9081386386,6045
5011554741,6047
10146977156,6049
7896827391,6051
8496702738,6053
1938247338,6055
2480616988,6057
2047561084,6059
3644136017,6061
6612350713,6063
18664696661,6065
2498415670,6067
3596742302,6069
51947229509,6071
10895120648,6073
121399963,6075
3603505998,6077
8543248461,6079
1161371825,6081
7083838022,6083
3341343470,6085
1152986019,6087
9778246966,6089
2468813797,6091
16259652221,6093
2128361199,6095
4081430136,6097
3871582888,6099
1560235601,6101
7639709781,6103
8234229734,6105
12494658169,6107
5752062580,6109
4773691889,6111
2628032408,6113
1636454192,6115
3024207713,8001
1871636898,8003
2067070049,8005
3496937899,8007
6617333541,8009
3918292377,8011
1881080439,8013
85557538,8014
2624702242,8015
4605713068,8017
1023632674,8019
3334326097,8021
3177789979,8023
2039411297,8025
1913031045,8027
2957896781,8029
396268588,8031
2763650142,8033
2176232357,8035
4362911978,8037
4793671177,8039
5508389808,8041
3970627343,8043
7634153703,8045
388229109,8047
4781971576,8049
8389228965,8051
2893667726,8053
4120672901,8055
4179523206,8057
1979289991,8059
4578495505,8061
5596502129,8063
976194289,8065
4382462547,8067
6723613486,8069
12361162110,8071
6676021407,8073
4761813494,8075
8622002815,8077
2267965576,8079
12285064917,8081
5256450876,8083
5803373218,8085
3316304952,8087
3268465106,8089
1402718909,8091
5682034441,8093
1781724987,8095
2514094239,8097
4243422095,8099
6179980907,8101
8342179365,8103
2361959921,8105
6117619255,8107
8206440775,8109
1003588157,8111
3332308274,8113
1419419181,8115
1575639358,8117
1442767059,8119
6521670287,8121
10326898753,8123
6123779829,8125
1618456437,9001
1903891914,9003
2384238980,9005
956486234,9007
1565663096,9009
1722025951,9011
1062448385,9013
1328430430,9015
1518196116,10001
1104074798,10003
2424432871,10005
158114680,11001
2266291505,12001
1515741200,12003
1964400618,12005
761356806,12007
2630557912,12009
3133329108,12011
1469389276,12013
1761913582,12015
1506586255,12017
1565286048,12019
5175636190,12021
2065707648,12023
1649975818,12027
1826078949,12029
1974068274,12031
1700226567,12033
1257337716,12035
1384930964,12037
1337293000,12039
905658580,12041
2087553927,12043
1460784877,12045
1330711074,12047
1651849564,12049
2985609243,12051
1223869127,12053
2633020110,12055
2642341101,12057
1240027821,12059
1302431761,12061
2376987362,12063
1549059034,12065
1407428266,12067
2430396019,12069
2031879249,12071
1727138746,12073
2896139279,12075
2164095370,12077
1802497924,12079
1924182235,12081
4103955681,12083
1407565382,12085
4915061046,12086
2546689189,12087
1679967676,12089
2409328778,12091
1991462636,12093
2339870128,12095
3438086444,12097
5101663125,12099
1934425891,12101
709135878,12103
4656375819,12105
1884532662,12107
1555689678,12109
1481280881,12111
2620043744,12113
1439690708,12115
800879349,12117
1416548738,12119
1783341092,12121
2702147548,12123
630806354,12125
2851658690,12127
1570616974,12129
2687435898,12131
1509453502,12133
1313333924,13001
878994487,13003
669707907,13005
885629946,13007
667812053,13009
601112234,13011
415198674,13013
1190213681,13015
647809208,13017
1170407787,13019
646879637,13021
559100179,13023
1145713216,13025
1276982395,13027
1129148153,13029
1742568254,13031
2141836337,13033
477576117,13035
726147317,13037
1587727882,13039
629480666,13043
1292600278,13045
419990951,13047
2003553604,13049
1104465640,13051
644223521,13053
811541767,13055
1092129613,13057
308727523,13059
506035709,13061
366664243,13063
2072566618,13065
879428364,13067
1489494986,13069
1409350694,13071
751329062,13073
588345665,13075
1141905439,13077
841456435,13079
705987965,13081
450609395,13083
546046104,13085
1546584607,13087
693033963,13089
1284348917,13091
1015120132,13093
851299438,13095
518170971,13097
1327612162,13099
1074571687,13101
1237236175,13103
909228765,13105
1762755669,13107
473586453,13109
1001608266,13111
503344101,13113
1320662374,13115
580210822,13117
677273046,13119
1363977166,13121
1104733530,13123
372283969,13125
1087155362,13127
921538864,13129
1177219063,13131
1003453171,13133
1114687261,13135
716752092,13137
1017300166,13139
1222061286,13141
730804051,13143
1201414214,13145
601897046,13147
766714528,13149
