D_n,state_county_res
-81.58302193828351,1001
-81.58302193828351,1003
-81.58302193828351,1005
-81.58302193828351,1007
-81.58302193828351,1009
-81.58302193828351,1011
-81.58302193828351,1013
-81.58302193828351,1015
-81.58302193828351,1017
-81.58302193828351,1019
-81.58302193828351,1021
-81.58302193828351,1023
-81.58302193828351,1025
-81.58302193828351,1027
-81.58302193828351,1029
-81.58302193828351,1031
-81.58302193828351,1033
-81.58302193828351,1035
-81.58302193828351,1037
-81.58302193828351,1039
-81.58302193828351,1041
-81.58302193828351,1043
-81.58302193828351,1045
-81.58302193828351,1047
-81.58302193828351,1049
-81.58302193828351,1051
-81.58302193828351,1053
-81.58302193828351,1055
-81.58302193828351,1057
-81.58302193828351,1059
-81.58302193828351,1061
-81.58302193828351,1063
-81.58302193828351,1065
-81.58302193828351,1067
-81.58302193828351,1069
-81.58302193828351,1071
-81.58302193828351,1073
-81.58302193828351,1075
-81.58302193828351,1077
-81.58302193828351,1079
-81.58302193828351,1081
-81.58302193828351,1083
-81.58302193828351,1085
-81.58302193828351,1087
-81.58302193828351,1089
-81.58302193828351,1091
-81.58302193828351,1093
-81.58302193828351,1095
-81.58302193828351,1097
-81.58302193828351,1099
-81.58302193828351,1101
-81.58302193828351,1103
-81.58302193828351,1105
-81.58302193828351,1107
-81.58302193828351,1109
-81.58302193828351,1111
-81.58302193828351,1113
-81.58302193828351,1115
-81.58302193828351,1117
-81.58302193828351,1119
-81.58302193828351,1121
-81.58302193828351,1123
-81.58302193828351,1125
-81.58302193828351,1127
-81.58302193828351,1129
-81.58302193828351,1131
-81.58302193828351,1133
-81.58302193828351,2013
-81.58302193828351,2016
-81.58302193828351,2020
-81.58302193828351,2050
-81.58302193828351,2060
-81.58302193828351,2068
-81.58302193828351,2070
-81.58302193828351,2090
-81.58302193828351,2100
-81.58302193828351,2110
-81.58302193828351,2122
-81.58302193828351,2130
-81.58302193828351,2150
-81.58302193828351,2164
-81.58302193828351,2170
-81.58302193828351,2180
-81.58302193828351,2185
-81.58302193828351,2188
-81.58302193828351,2201
-81.58302193828351,2220
-81.58302193828351,2232
-81.58302193828351,2240
-81.58302193828351,2261
-81.58302193828351,2270
-81.58302193828351,2280
-81.58302193828351,2282
-81.58302193828351,2290
-81.58302193828351,4001
-81.58302193828351,4003
-81.58302193828351,4005
-81.58302193828351,4007
-81.58302193828351,4009
-81.58302193828351,4011
-81.58302193828351,4012
-81.58302193828351,4013
-81.58302193828351,4015
-81.58302193828351,4017
-81.58302193828351,4019
-81.58302193828351,4021
-81.58302193828351,4023
-81.58302193828351,4025
-81.58302193828351,4027
-81.58302193828351,5001
-81.58302193828351,5003
-81.58302193828351,5005
-81.58302193828351,5007
-81.58302193828351,5009
-81.58302193828351,5011
-81.58302193828351,5013
-81.58302193828351,5015
-81.58302193828351,5017
-81.58302193828351,5019
-81.58302193828351,5021
-81.58302193828351,5023
-81.58302193828351,5025
-81.58302193828351,5027
-81.58302193828351,5029
-81.58302193828351,5031
-81.58302193828351,5033
-81.58302193828351,5035
-81.58302193828351,5037
-81.58302193828351,5039
-81.58302193828351,5041
-81.58302193828351,5043
-81.58302193828351,5045
-81.58302193828351,5047
-81.58302193828351,5049
-81.58302193828351,5051
-81.58302193828351,5053
-81.58302193828351,5055
-81.58302193828351,5057
-81.58302193828351,5059
-81.58302193828351,5061
-81.58302193828351,5063
-81.58302193828351,5065
-81.58302193828351,5067
-81.58302193828351,5069
-81.58302193828351,5071
-81.58302193828351,5073
-81.58302193828351,5075
-81.58302193828351,5077
-81.58302193828351,5079
-81.58302193828351,5081
-81.58302193828351,5083
-81.58302193828351,5085
-81.58302193828351,5087
-81.58302193828351,5089
-81.58302193828351,5091
-81.58302193828351,5093
-81.58302193828351,5095
-81.58302193828351,5097
-81.58302193828351,5099
-81.58302193828351,5101
-81.58302193828351,5103
-81.58302193828351,5105
-81.58302193828351,5107
-81.58302193828351,5109
-81.58302193828351,5111
-81.58302193828351,5113
-81.58302193828351,5115
-81.58302193828351,5117
-81.58302193828351,5119
-81.58302193828351,5121
-81.58302193828351,5123
-81.58302193828351,5125
-81.58302193828351,5127
-81.58302193828351,5129
-81.58302193828351,5131
-81.58302193828351,5133
-81.58302193828351,5135
-81.58302193828351,5137
-81.58302193828351,5139
-81.58302193828351,5141
-81.58302193828351,5143
-81.58302193828351,5145
-81.58302193828351,5147
-81.58302193828351,5149
-81.58302193828351,6001
-81.58302193828351,6003
-81.58302193828351,6005
-81.58302193828351,6007
-81.58302193828351,6009
-81.58302193828351,6011
-81.58302193828351,6013
-81.58302193828351,6015
-81.58302193828351,6017
-81.58302193828351,6019
-81.58302193828351,6021
-81.58302193828351,6023
-81.58302193828351,6025
-81.58302193828351,6027
-81.58302193828351,6029
-81.58302193828351,6031
-81.58302193828351,6033
-81.58302193828351,6035
-81.58302193828351,6037
-81.58302193828351,6039
-81.58302193828351,6041
-81.58302193828351,6043
-81.58302193828351,6045
-81.58302193828351,6047
-81.58302193828351,6049
-81.58302193828351,6051
-81.58302193828351,6053
-81.58302193828351,6055
-81.58302193828351,6057
-81.58302193828351,6059
-81.58302193828351,6061
-81.58302193828351,6063
-81.58302193828351,6065
-81.58302193828351,6067
-81.58302193828351,6069
-81.58302193828351,6071
-81.58302193828351,6073
-81.58302193828351,6075
-81.58302193828351,6077
-81.58302193828351,6079
-81.58302193828351,6081
-81.58302193828351,6083
-81.58302193828351,6085
-81.58302193828351,6087
-81.58302193828351,6089
-81.58302193828351,6091
-81.58302193828351,6093
-81.58302193828351,6095
-81.58302193828351,6097
-81.58302193828351,6099
-81.58302193828351,6101
-81.58302193828351,6103
-81.58302193828351,6105
-81.58302193828351,6107
-81.58302193828351,6109
-81.58302193828351,6111
-81.58302193828351,6113
-81.58302193828351,6115
-81.58302193828351,8001
-81.58302193828351,8003
-81.58302193828351,8005
-81.58302193828351,8007
-81.58302193828351,8009
-81.58302193828351,8011
-81.58302193828351,8013
-81.58302193828351,8014
-81.58302193828351,8015
-81.58302193828351,8017
-81.58302193828351,8019
-81.58302193828351,8021
-81.58302193828351,8023
-81.58302193828351,8025
-81.58302193828351,8027
-81.58302193828351,8029
-81.58302193828351,8031
-81.58302193828351,8033
-81.58302193828351,8035
-81.58302193828351,8037
-81.58302193828351,8039
-81.58302193828351,8041
-81.58302193828351,8043
-81.58302193828351,8045
-81.58302193828351,8047
-81.58302193828351,8049
-81.58302193828351,8051
-81.58302193828351,8053
-81.58302193828351,8055
-81.58302193828351,8057
-81.58302193828351,8059
-81.58302193828351,8061
-81.58302193828351,8063
-81.58302193828351,8065
-81.58302193828351,8067
-81.58302193828351,8069
-81.58302193828351,8071
-81.58302193828351,8073
-81.58302193828351,8075
-81.58302193828351,8077
-81.58302193828351,8079
-81.58302193828351,8081
-81.58302193828351,8083
-81.58302193828351,8085
-81.58302193828351,8087
-81.58302193828351,8089
-81.58302193828351,8091
-81.58302193828351,8093
-81.58302193828351,8095
-81.58302193828351,8097
-81.58302193828351,8099
-81.58302193828351,8101
-81.58302193828351,8103
-81.58302193828351,8105
-81.58302193828351,8107
-81.58302193828351,8109
-81.58302193828351,8111
-81.58302193828351,8113
-81.58302193828351,8115
-81.58302193828351,8117
-81.58302193828351,8119
-81.58302193828351,8121
-81.58302193828351,8123
-81.58302193828351,8125
-81.58302193828351,9001
-81.58302193828351,9003
-81.58302193828351,9005
-81.58302193828351,9007
-81.58302193828351,9009
-81.58302193828351,9011
-81.58302193828351,9013
-81.58302193828351,9015
-81.58302193828351,10001
-81.58302193828351,10003
-81.58302193828351,10005
-81.58302193828351,11001
-81.58302193828351,12001
-81.58302193828351,12003
-81.58302193828351,12005
-81.58302193828351,12007
-81.58302193828351,12009
-81.58302193828351,12011
-81.58302193828351,12013
-81.58302193828351,12015
-81.58302193828351,12017
-81.58302193828351,12019
-81.58302193828351,12021
-81.58302193828351,12023
-81.58302193828351,12027
-81.58302193828351,12029
-81.58302193828351,12031
-81.58302193828351,12033
-81.58302193828351,12035
-81.58302193828351,12037
-81.58302193828351,12039
-81.58302193828351,12041
-81.58302193828351,12043
-81.58302193828351,12045
-81.58302193828351,12047
-81.58302193828351,12049
-81.58302193828351,12051
-81.58302193828351,12053
-81.58302193828351,12055
-81.58302193828351,12057
-81.58302193828351,12059
-81.58302193828351,12061
-81.58302193828351,12063
-81.58302193828351,12065
-81.58302193828351,12067
-81.58302193828351,12069
-81.58302193828351,12071
-81.58302193828351,12073
-81.58302193828351,12075
-81.58302193828351,12077
-81.58302193828351,12079
-81.58302193828351,12081
-81.58302193828351,12083
-81.58302193828351,12085
-81.58302193828351,12086
-81.58302193828351,12087
-81.58302193828351,12089
-81.58302193828351,12091
-81.58302193828351,12093
-81.58302193828351,12095
-81.58302193828351,12097
-81.58302193828351,12099
-81.58302193828351,12101
-81.58302193828351,12103
-81.58302193828351,12105
-81.58302193828351,12107
-81.58302193828351,12109
-81.58302193828351,12111
-81.58302193828351,12113
-81.58302193828351,12115
-81.58302193828351,12117
-81.58302193828351,12119
-81.58302193828351,12121
-81.58302193828351,12123
-81.58302193828351,12125
-81.58302193828351,12127
-81.58302193828351,12129
-81.58302193828351,12131
-81.58302193828351,12133
-81.58302193828351,13001
-81.58302193828351,13003
-81.58302193828351,13005
-81.58302193828351,13007
-81.58302193828351,13009
-81.58302193828351,13011
-81.58302193828351,13013
-81.58302193828351,13015
-81.58302193828351,13017
-81.58302193828351,13019
-81.58302193828351,13021
-81.58302193828351,13023
-81.58302193828351,13025
-81.58302193828351,13027
-81.58302193828351,13029
-81.58302193828351,13031
-81.58302193828351,13033
-81.58302193828351,13035
-81.58302193828351,13037
-81.58302193828351,13039
-81.58302193828351,13043
-81.58302193828351,13045
-81.58302193828351,13047
-81.58302193828351,13049
-81.58302193828351,13051
-81.58302193828351,13053
-81.58302193828351,13055
-81.58302193828351,13057
-81.58302193828351,13059
-81.58302193828351,13061
-81.58302193828351,13063
-81.58302193828351,13065
-81.58302193828351,13067
-81.58302193828351,13069
-81.58302193828351,13071
-81.58302193828351,13073
-81.58302193828351,13075
-81.58302193828351,13077
-81.58302193828351,13079
-81.58302193828351,13081
-81.58302193828351,13083
-81.58302193828351,13085
-81.58302193828351,13087
-81.58302193828351,13089
-81.58302193828351,13091
-81.58302193828351,13093
-81.58302193828351,13095
-81.58302193828351,13097
-81.58302193828351,13099
-81.58302193828351,13101
-81.58302193828351,13103
-81.58302193828351,13105
-81.58302193828351,13107
-81.58302193828351,13109
-81.58302193828351,13111
-81.58302193828351,13113
-81.58302193828351,13115
-81.58302193828351,13117
-81.58302193828351,13119
-81.58302193828351,13121
-81.58302193828351,13123
-81.58302193828351,13125
-81.58302193828351,13127
-81.58302193828351,13129
-81.58302193828351,13131
-81.58302193828351,13133
-81.58302193828351,13135
-81.58302193828351,13137
-81.58302193828351,13139
-81.58302193828351,13141
-81.58302193828351,13143
-81.58302193828351,13145
-81.58302193828351,13147
-81.58302193828351,13149
-81.58302193828351,13151
-81.58302193828351,13153
-81.58302193828351,13155
-81.58302193828351,13157
-81.58302193828351,13159
-81.58302193828351,13161
-81.58302193828351,13163
-81.58302193828351,13165
-81.58302193828351,13167
-81.58302193828351,13169
-81.58302193828351,13171
-81.58302193828351,13173
-81.58302193828351,13175
-81.58302193828351,13177
-81.58302193828351,13179
-81.58302193828351,13181
-81.58302193828351,13183
-81.58302193828351,13185
-81.58302193828351,13187
-81.58302193828351,13189
-81.58302193828351,13191
-81.58302193828351,13193
-81.58302193828351,13195
-81.58302193828351,13197
-81.58302193828351,13199
-81.58302193828351,13201
-81.58302193828351,13205
-81.58302193828351,13207
-81.58302193828351,13209
-81.58302193828351,13211
-81.58302193828351,13213
-81.58302193828351,13215
-81.58302193828351,13217
-81.58302193828351,13219
-81.58302193828351,13221
-81.58302193828351,13223
-81.58302193828351,13225
-81.58302193828351,13227
-81.58302193828351,13229
-81.58302193828351,13231
-81.58302193828351,13233
-81.58302193828351,13235
-81.58302193828351,13237
-81.58302193828351,13239
-81.58302193828351,13241
-81.58302193828351,13243
-81.58302193828351,13245
-81.58302193828351,13247
-81.58302193828351,13249
-81.58302193828351,13251
-81.58302193828351,13253
-81.58302193828351,13255
-81.58302193828351,13257
-81.58302193828351,13259
-81.58302193828351,13261
-81.58302193828351,13263
-81.58302193828351,13265
-81.58302193828351,13267
-81.58302193828351,13269
-81.58302193828351,13271
-81.58302193828351,13273
-81.58302193828351,13275
-81.58302193828351,13277
