vector_number,old_w,cf_hatL,cf_hatR,diag_old_λ,real_v
1001,-0.01982371521465076,0.7632498502471163,-0.06675477122943807,0.7274932678519086,-0.08439204440588988
1003,0.023419157496640253,2.3483147138382954,1.4847680292129795,2.2172014051550004,-0.015658930732109777
1005,-0.022746427653863588,0.7024318255269613,0.2509828292629468,0.5100971685302325,-0.035112876638399015
1007,-0.005361773749124055,0.14783564340579147,0.7058261683540179,0.16985026810374393,5.840206582785612e-5
1009,-0.01716849798674147,2.148021054424265,0.6035599752827858,2.092091107121341,-0.4448416556007806
1011,-0.022534533764728693,-0.9840767773082293,-0.19466753928776281,-0.8917398769373364,0.009263425950734039
1013,-0.01695352354520452,-1.0055024549059044,-0.8027180949700563,-0.9658561626264328,0.04607213364347107
1015,-0.02638261576325407,-0.6366756185548939,-0.6049505587611526,-0.6030352238443948,-0.017910789591302212
1017,-0.022008188013378227,-1.449013778746433,-0.2560434768782538,-1.4065922378932227,0.17798839829423763
1019,-0.02182367351498682,-1.1434218247237449,-0.5373475339237266,-1.083794528327564,0.0176208044247117
1021,-0.01573780728300056,-0.497370844003997,-0.01388203059866644,-0.5265085514860601,0.11563422312630411
1023,-0.010380789796393675,-0.9105546381176,-0.6528354523527513,-0.8395674989321034,2.6720440571281756e-5
1025,-0.010864023227719066,-0.9060692476882792,-0.753177173899211,-0.8427991399429846,0.03898604308263387
1027,-0.022383207443388287,-0.7812153593913851,-0.5658763854637594,-0.7278108398194316,0.004419559745527657
1029,-0.021155223825664038,-1.1994304377431653,-0.5324924686487931,-1.1070421562534571,0.022089728301333267
1031,-0.019982099328519354,-0.5845529251356507,-0.40952041202793055,-0.5673204744738758,-0.018261883946202317
1033,-0.02312959438535156,-1.2750348244058296,-0.7370578704861797,-1.123367483025417,-0.05248318389338147
1035,-0.010279231179399773,-1.3070489041127065,-0.8968152780042149,-1.1856570367491992,0.040599341663249966
1037,-0.02065194684290894,1.4659750600958477,-0.15818913412277702,1.3723046185923682,-0.08457583362488919
1039,-0.009666480026160329,-0.1604859328054986,-0.16084821988706643,-0.15898406903072093,0.04491036210565458
1041,-0.018289157649054033,-1.5510234621788355,-0.5562433688346302,-1.3967163211251687,0.056491041685124976
1043,-0.01755690745153249,-1.3474412175551342,-0.5456859431037242,-1.2153642916073348,0.06748963769185323
1045,-0.026733064785222638,-0.5456405480198767,-0.577834572063618,-0.5056418135436447,-0.01409074895512008
1047,-0.01726246214461824,-1.0066187220047151,-0.7956701845574399,-0.9140964262831064,0.022014584338192478
1049,-0.020336633802120474,-0.8111317036109456,-0.22255917310833873,-0.7925132309192118,0.015338708590939554
1051,-0.023834787592413864,0.19442533198221756,-0.16635148124301002,0.20001286469732982,-0.07857001140710862
1053,-0.00011093824471286595,-0.71197979208798,-0.20091769036445495,-0.6124511314763326,0.07603327908298763
1055,-0.023404007302896268,-1.1847423103387267,-0.5061542181193035,-1.0923204914065399,-0.03692755269444348
1057,-0.007139013453261178,-0.26035596068654243,0.401678901772895,-0.26480361446261647,0.30238865824412375
1059,-0.019176954897837106,-1.155103071677599,-0.5650448159481014,-1.0087567078577275,-0.014729901512910981
1061,-0.0190332491506906,0.006103051669725801,-0.34019358220035434,-0.0007326892675019181,-0.06314935584242898
1063,-0.006257462781789069,-2.557426141333563,-0.277082251283689,-2.106831090619532,0.3501743273949476
1065,-0.006958312868965422,-1.9157107703704823,-0.06760619604111451,-1.8771105579512448,0.3935058709709116
1067,-0.0267901026944406,-1.5627788412358345,-0.8552008309516745,-1.4285669794233513,0.008541027838004922
1069,-0.03322113144093031,-1.0797007609533282,-0.8473935878135719,-0.9819166698764814,-0.03088746004511478
1071,-0.020576289309337525,-1.3744260260836416,-0.7055951163021046,-1.2382168778743319,0.1137253908357394
1073,-0.024138523723271632,-0.5460736921152787,-0.252503267632187,-0.4415105139191633,-0.05159807028619623
1075,-0.010509801101621363,-0.12490931321542664,0.28800432993627556,-0.11871971364867395,0.045197868783275474
1077,-0.0226400459561793,-0.796165238338542,-0.5698093396382276,-0.7784064228339549,-0.0042547649368729346
1079,-0.0145425949169109,2.293558731366896,0.6889839993141189,2.03194269057021,-0.10697913535704373
1081,-0.03365500103730268,-1.3286750225507515,-0.8347332266563923,-1.166959481018326,-0.02698926646523825
1083,-0.012017981991940818,0.5938332237610089,0.34611877400669844,0.4719042959719921,0.014975372240977336
1085,-0.019977508113233622,-1.15623163279569,-0.6101068102484897,-1.0780300140750487,0.0436295421143873
1087,-0.024051432926319727,3.230245968455958,0.5571518271438425,2.753264952195833,-0.1391414885273501
1089,-0.009037130066658072,0.32648359977482944,0.324294093095312,0.33056023557413994,0.02875438844671674
1091,-0.012443654305205332,-0.6602555055001624,-0.5707627421914663,-0.5287382122150852,0.026896170851475887
1093,-0.01437329526562392,0.41922411698338546,0.286917008120291,0.3700096243006268,0.027197015231128496
1095,-0.007602405112638877,3.7118614723561816,1.7736661319444513,3.083740082883124,-0.20982722997536785
1097,-0.0014867442371668815,-0.14175156629837593,0.09235432839631574,-0.01571485840838882,0.024402476549179042
1099,-0.011721506711626084,-1.0907022831382673,-0.9114316220708907,-1.042115466891147,0.013328839418447203
1101,-0.027317598747145233,-0.47061965983724585,-0.35418732998774294,-0.4208410337473212,-0.04441897877957013
1103,-0.012032195531630485,0.14050582821159008,0.24503336413306265,0.15394023726527095,0.020099619464009066
1105,-0.012045956133421853,-1.2439881722493884,-0.578825898758839,-1.0424567345747038,0.13752475951820387
1107,-0.000959113419618518,5.144081301269665,2.745014311895644,4.812177569205667,-0.11878910809622889
1109,-0.017265439629343682,2.2742236981971864,1.122797729007008,1.828865162572768,-0.05604576005421302
1111,-0.019126062155550017,0.2254717326359179,0.05392466345097713,0.1546037652410348,0.045293567353965614
1113,-0.030640781487556445,-0.2820607365187966,-0.657930774992832,-0.2849015986868153,-0.06814373310607413
1115,-0.02402847184289625,-1.1071213789308865,-0.5219203767358738,-1.0743450984065595,0.09227181946311891
1117,-0.01719001568826206,1.4408186418961577,0.22713758867873857,1.2949458194374541,-0.02598288300187379
1119,-0.009421116047336753,-0.9779981193656417,-0.4659666991384759,-0.8648465739728772,0.09270069456424057
1121,-0.024373738514771315,-0.873952156214064,-0.592320152418413,-0.8014404849215229,0.015487944808612042
1123,-0.023223877539768623,-0.40716749660397733,-0.36022470311360966,-0.3983182269929664,-0.02123903374174896
1125,0.015222382880430985,3.096085930766379,2.2990365854446804,2.810151492593338,0.03696864482127804
1127,-0.014313920527864177,-0.9088751168587761,-0.4614225214997658,-0.7854797852559381,0.0939305688546277
1129,-0.0068403687342288855,-0.9033370419305409,-0.4946078823842237,-0.7594623382507493,0.009921397727175041
1131,-0.014221973435801782,0.034014947347893454,-0.37868066620788676,-0.0818856514340327,0.049143837296905524
1133,-0.01481524320854355,1.7797642490370746,0.47522607910432946,1.4498262427269815,0.03876290659627912
2013,-0.04466881047184845,-0.9454506097384741,-0.9454506097384741,-0.9454471518381524,-0.061225493054728464
2016,-0.09196498049035551,-1.0938020324402054,-1.0938020324402054,-1.0938025577710953,-0.19570753730424606
2020,-0.03908140626880385,-0.7073499781299231,-0.6469591576469536,-0.6532118220695438,-0.15833972007138764
2050,-0.04153365858334812,-0.7822571007195078,-0.7822571007195078,-0.7822565028783979,-0.05578400348510426
2060,0.10537161821138064,2.8194188892116,2.8027992678331337,2.819418917432248,0.3023627890794245
2068,-0.03895713425312586,-1.308289893961334,-1.308289893961334,-1.3082875988980947,-0.05907436072385419
2070,-0.02719395992695217,0.24774218701220097,0.24774218701220097,0.24774786645136437,-0.022536541441775526
2090,-0.101923256299008,-1.2067632268095818,-1.2067632268095818,-1.2067579541744422,-0.23895518613706868
2100,0.036202559331188766,1.0280903777983186,1.0201420138077344,1.0224317875567657,0.13812895462783636
2110,0.08879745459464683,1.532863472125201,1.5328219766508777,1.53283385433034,0.2941388607213824
2122,-0.04892121754882517,-0.7610499155661699,-0.7610499155661699,-0.7610433487338142,-0.08992354870850372
2130,0.01617225496750585,0.4349778583977226,0.4267409787540144,0.43662136591913203,0.08768077666327923
2150,-0.027286027436213,-0.17540540385349024,-0.17540540385349024,-0.17540500445791807,-0.022737138134054646
2164,-0.000515202490791733,0.6565512006803109,0.6744969156561753,0.6745038125217429,0.04117649924946232
2170,-0.011265734370780045,2.036710595413571,1.2979961322071576,2.0200590606736846,-0.33567711758740737
2180,-0.043915715315656634,-0.3799352717107074,-0.3799352717107074,-0.37993746744725554,-0.05861900617771809
2185,-0.06012840319915558,-0.7724073053449687,-0.7724073053449687,-0.7724045185637518,-0.09678623454670854
2188,-0.06117559906129166,-1.3412872043719548,-1.3412872043719548,-1.341284631320272,-0.09929426916824857
2201,0.019982091172821015,0.8438068668193299,0.8315723696962651,0.8428841275863075,0.08865443450689625
2220,0.03304738186802325,0.70568903611814,0.70568903611814,0.7056883697378336,0.13168293641749873
2232,0.016492898128461775,0.5131670344532102,0.5239965781655531,0.5145343688107928,0.08581924959403242
2240,-0.04209007303785928,0.03787118255174082,0.03787118255174082,0.03787029747885917,-0.0593923186159695
2261,-0.02751716001920812,-0.6391394566623076,-0.6391394566623076,-0.6391408145012489,-0.029343625779065796
2270,-0.0485125550265586,-1.068387608813326,-1.068387608813326,-1.0683825084279786,-0.06975604500009114
2280,0.0017557554892855265,-0.6850458425785244,-0.6716276582604541,-0.6716268640322154,0.049060419386215415
2282,-0.010173209540664807,-0.44807021725881135,-0.44807021725881135,-0.44806734667142134,0.022182783669766337
2290,-0.04981037349804929,-1.1564089846997083,-1.1564089846997083,-1.1564007115443031,-0.07782785666883285
