vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,hatP,hatQ,real_v,L,R
1001,0.9998017628478535,1.0076324985024712,0.9993324522877056,0.9989008078802433,1.007274932678519,0.9997445127133577,0.9982339939311338,0.9991560795559411,19141,34240.34
1003,1.0002341915749664,1.023483147138383,1.0148476802921298,0.9986767459175954,1.02217201405155,0.9988331525090761,1.0135047789561644,0.9998434106926789,92474,104695.4
1005,0.9997725357234614,1.0070243182552696,1.0025098282926295,0.9994909706557473,1.0051009716853023,0.9998420439592216,1.0019995213721269,0.999648871233616,14328,13461.86
1007,0.9999463822625088,1.001478356434058,1.0070582616835402,0.9995098177500056,1.0016985026810374,0.9995092340159648,1.0065646195989526,1.0000005840206583,6685,11974.73
1009,0.9998283150201326,1.0214802105442427,1.0060355997528279,0.9952741016541937,1.0209209110712134,0.9997212783401553,1.0012811777761337,0.9955515834439922,19296,34892.78
1011,0.9997746546623527,0.9901592322269177,0.9980533246071224,0.9999357715774727,0.9910826012306266,0.9998431518474779,0.9979892212164847,1.0000926342595073,4243,5443.616
1013,0.999830464764548,0.989944975450941,0.9919728190502994,1.0002401446263973,0.9903414383737357,0.9997795248675604,0.9922110359923265,1.0004607213364347,10091,11225.07
1015,0.9997361738423675,0.9936332438144511,0.9939504944123885,0.9997560063803247,0.993969647761556,0.9999351026526103,0.9937079768334788,0.999820892104087,66547,59988.89
1017,0.9997799181198662,0.9855098622125357,0.9974395652312175,1.0016353967412313,0.9859340776210678,0.9998557694718957,0.9990707746457718,1.0017798839829424,14425,18379.5
1019,0.9997817632648501,0.9885657817527626,0.9946265246607627,1.0000431438489208,0.9891620547167244,0.9998669592475244,0.9946694366772753,1.0001762080442471,8769,13494.39
1021,0.99984262192717,0.99502629155996,0.9998611796940133,1.000787693639341,0.9947349144851394,0.9996317771996526,1.0006487639854822,1.001156342231263,13529,23021.21
1023,0.9998961921020361,0.990894453618824,0.9934716454764725,0.9996573597108334,0.991604325010679,0.999657092598054,0.9931312420645876,1.0000002672044057,5543,5484.59
1025,0.9998913597677228,0.9909393075231172,0.9924682282610079,1.0000587065506317,0.9915720086005702,0.9996689751732868,0.9925264926473006,1.0003898604308263,13726,11772.39
1027,0.9997761679255661,0.9921878464060861,0.9943412361453624,0.9998919345210474,0.9927218916018057,0.9998477456525641,0.994233782183436,1.0000441955974553,6945,8244.683
1029,0.9997884477617434,0.9880056956225683,0.9946750753135121,1.0000559652704237,0.9889295784374654,0.9998351044123978,0.9947307425730857,1.0002208972830133,4670,7366.398
1031,0.9998001790067148,0.9941544707486435,0.9959047958797207,0.9996243599132849,0.9943267952552612,0.9998069434969924,0.9955306941158365,0.999817381160538,22782,26092.58
1033,0.9997687040561465,0.9872496517559417,0.9926294212951382,0.9994085512803302,0.9887663251697458,0.9999333481382449,0.9920423318948066,0.9994751681610662,29775,28109.06
1035,0.999897207688206,0.9869295109588729,0.9910318472199579,1.0000887831315113,0.988143429632508,0.9996829184479015,0.9911198341307814,1.0004059934166325,5824,6684.222
1037,0.9997934805315709,1.0146597506009585,0.9984181086587722,0.9989269589179124,1.0137230461859237,0.9997725248651697,0.9973467650110811,0.9991542416637511,2581,5139.4
1039,0.9999033351997384,0.998395140671945,0.9983915178011293,1.0001137179376591,0.9984101593096928,0.9996647648719126,0.99850505282551,1.0004491036210565,19389,19669.86
1041,0.9998171084235095,0.9844897653782116,0.9944375663116537,1.0003681508405435,0.9860328367887483,0.9998033515124713,0.9948036693375594,1.0005649104168512,6229,7582.802
1043,0.9998244309254847,0.9865255878244487,0.9945431405689628,1.000488414807979,0.9878463570839267,0.9998136442019132,0.9950288901659905,1.0006748963769185,42907,48670.2
1045,0.9997326693521478,0.9945435945198012,0.9942216542793638,0.9997840233477141,0.9949435818645636,0.9999249202579673,0.9940069256148424,0.9998590925104488,28601,27658.99
1047,0.9998273753785538,0.9899338127799528,0.9920432981544256,0.9999920317097944,0.9908590357371689,0.9997719360737378,0.9920353932655295,1.000220145843382,21121,20560.31
1049,0.9997966336619788,0.9918886829638905,0.9977744082689166,1.0000148235542645,0.9920748676908079,0.9998614577189519,0.9977891988320013,1.0001533870859094,36498,39879.15
1051,0.9997616521240759,1.0019442533198222,0.9983364851875699,0.9990323719486633,1.0020001286469733,0.9998179290095365,0.9973704667998295,0.9992142998859289,27555,46354.68
1053,0.9999988906175529,0.9928802020791202,0.9979908230963555,1.0003105011498084,0.9938754886852367,0.9995505101208727,0.9983007003944251,1.0007603327908299,17497,16607.42
1055,0.999765959926971,0.9881525768966127,0.994938457818807,0.9995479350141355,0.9890767950859346,0.9999171799576652,0.9944886809789371,0.9996307244730556,49698,53860.16
1057,0.9999286098654674,0.9973964403931346,1.004016789017729,1.0026725522291797,0.9973519638553738,0.9996497248390976,1.0067000763253522,1.0030238865824412,7581,9425.252
1059,0.9998082304510216,0.988448969283224,0.994349551840519,0.9997012022897747,0.9899124329214227,0.9998484789860076,0.9940524424712655,0.9998527009848709,15082,17020.97
1061,0.9998096675084931,1.0000610305166973,0.9965980641779965,0.9991597782400061,0.999992673107325,0.9997911399046255,0.9957607007985063,0.9993685064415757,10140,15110.85
1063,0.9999374253721821,0.9744257385866644,0.9972291774871631,1.0031259309624263,0.9789316890938047,0.9996254990945037,1.0003464470497052,1.0035017432739495,3519,3925.201
1065,0.9999304168713103,0.9808428922962952,0.9993239380395889,1.0035757995976564,0.9812288944204876,0.9996421490524352,1.0028973201751592,1.0039350587097091,5637,8214.945
1067,0.9997320989730556,0.9843722115876417,0.9914479916904833,1.0000200856722081,0.9857143302057665,0.9999346809727444,0.9914679055898558,1.00008541027838,6517,9365.866
1069,0.9996677886855907,0.9892029923904667,0.9915260641218643,0.9997785775160623,0.9901808333012352,1.0000874791365968,0.9913065179578574,0.9996911253995489,64815,55596.41
1071,0.9997942371069066,0.9862557397391636,0.992944048836979,1.000994103051598,0.9876178312212567,0.9998570117571787,0.9939311375459939,1.0011372539083574,25841,30069.15
1073,0.9997586147627673,0.9945392630788472,0.9974749673236781,0.9995444923657973,0.9955848948608084,1.0000605042877042,0.9970206098611362,0.999484019297138,480773,396507.9
1075,0.9998949019889838,0.9987509068678457,1.0028800432993628,1.0001427130217466,0.9988128028635133,0.9996908740522541,1.0030231673407914,1.0004519786878328,5960,7470.531
1077,0.9997735995404382,0.9920383476166146,0.9943019066036177,0.999854124480998,0.9922159357716605,0.9998966677338217,0.9941568622969472,0.9999574523506313,45562,49863.16
1079,0.9998545740508309,1.022935587313669,1.0068898399931412,0.998666960374937,1.020319426905702,0.9997364698061847,1.005547615938357,0.9989302086464296,12211,19818.07
1081,0.999663449989627,0.9867132497744925,0.9916526677334361,0.9997901111383136,0.9883304051898167,1.0000600200019243,0.9914445308838172,0.9997301073353476,68359,77290.41
1083,0.9998798201800806,1.00593833223761,1.003461187740067,0.9998543481305053,1.00471904295972,0.9997046386395587,1.0033150317421073,1.0001497537224098,41310,48983.85
1085,0.9998002249188677,0.9884376836720431,0.9938989318975151,1.0002624544238923,0.9892196998592495,0.9998262348157028,0.9941597850690934,1.0004362954211439,5342,6352.999
1087,0.9997594856707368,1.0323024596845596,1.0055715182714384,0.9984342509757195,1.0275326495219583,0.9998254229518896,1.0039970456478606,0.9986085851147265,8712,10214.58
1089,0.9999096286993334,1.0032648359977483,1.0032429409309531,0.9999354934050582,1.0033056023557414,0.9996480507214536,1.0031782251449342,1.0002875438844672,222080,185260.6
1091,0.999875563456948,0.9933974449449984,0.9942923725780853,0.9999667329943545,0.9947126178778491,0.9996978525519336,0.9942592954481134,1.0002689617085148,10383,10729.17
1093,0.9998562670473438,1.0041922411698339,1.002869170081203,1.0000246902669712,1.0037000962430063,0.9997527873491221,1.0028939311887493,1.0002719701523113,15975,15746.17
1095,0.9999239759488736,1.0371186147235618,1.0177366613194445,0.9973797564783619,1.0308374008288312,0.9994769312374201,1.0150699434258885,0.9979017277002463,46986,46779.61
1097,0.9999851325576283,0.9985824843370162,1.0009235432839632,0.9997360669716281,0.9998428514159161,0.9994921661301773,1.0006593665020154,1.0002440247654918,234725,225085.1
1099,0.9998827849328837,0.9890929771686173,0.9908856837792911,0.9998226061752425,0.9895788453310885,0.9996893591858734,0.9907099067779481,1.0001332883941845,11800,11829.54
1101,0.9997268240125285,0.9952938034016275,0.9964581267001226,0.9995494061815325,0.9957915896625268,0.9999935931234591,0.9960091288278698,0.9995558102122043,181231,138011.2
1103,0.9998796780446837,1.001405058282116,1.0024503336413306,0.9999312751109863,1.0015394023726527,0.9997303331183633,1.0023814403534095,1.00020099619464,65170,65652.36
1105,0.9998795404386658,0.9875601182775061,0.9942117410124116,1.0010708684620917,0.989575432654253,0.999696038888697,0.9952764110105031,1.001375247595182,3807,4685.584
1107,0.9999904088658038,1.0514408130126967,1.0274501431189564,0.998318972519356,1.0481217756920567,0.9995062771113024,1.0257229711933817,0.9988121089190377,6386,10035.94
1109,0.9998273456037066,1.0227422369819719,1.01122797729007,0.999164763481934,1.0182886516257277,0.9997250669941833,1.0103833627553473,0.9994395423994579,18378,16908.27
1111,0.9998087393784445,1.0022547173263592,1.0005392466345098,1.0002426647460367,1.0015460376524103,0.9997898242685836,1.0007820422366942,1.0004529356735397,8279,11328.42
1113,0.9996935921851244,0.997179392634812,0.9934206922500717,0.9992783269999526,0.9971509840131318,0.99995973689423,0.9927037673587864,0.9993185626689393,17482,25517.49
1115,0.999759715281571,0.9889287862106911,0.9947807962326413,1.0007731552444894,0.9892565490159344,0.9998505749270916,0.9955499162223659,1.0009227181946312,26014,45880.23
1117,0.9998280998431174,1.0144081864189616,1.0022713758867874,0.99925041321458,1.0129494581943745,0.9995101147582895,1.0015200865080178,0.9997401711699813,97423,122081.3
1119,0.9999057888395266,0.9902200188063436,0.9953403330086152,1.0005842868997281,0.9913515342602712,0.9996575973637079,0.9959218973259631,1.0009270069456424,5708,6609.476
1121,0.9997562626148523,0.9912604784378594,0.9940767984758159,1.000034254732939,0.9919855951507848,0.9998793939642493,0.9941108503110686,1.0001548794480861,38182,39812.74
1123,0.9997677612246023,0.9959283250339602,0.9963977529688639,0.9996363890788849,0.9960168177300703,0.9998487472916886,0.9960354518641098,0.9997876096625825,18907,21613.07
