w_i,state_county_work
41298.293,13033
29348.5,13035
31623.264,13037
42563.47,13039
28946.326,13043
37649.094,13045
29566.787,13047
29436.523,13049
42765.37,13051
67310.63,13053
32052.674,13055
35502.816,13057
39170.51,13059
28535.316,13061
46954.58,13063
33375.24,13065
51776.863,13067
33276.89,13069
32144.297,13071
31195.404,13073
33205.914,13075
32398.844,13077
19840.236,13079
32418.984,13081
27371.922,13083
28739.934,13085
32638.947,13087
47242.445,13089
28713.967,13091
31961.373,13093
42882.453,13095
30967.633,13097
41051.0,13099
18339.043,13101
32861.805,13103
32551.648,13105
27567.723,13107
31424.129,13109
24955.87,13111
33558.92,13113
37922.953,13115
50096.633,13117
30225.49,13119
70720.836,13121
30588.973,13123
20332.938,13125
38674.254,13127
37232.94,13129
29189.004,13131
31405.229,13133
51755.004,13135
33592.1,13137
41249.758,13139
24535.357,13141
34417.04,13143
22379.027,13145
31593.42,13147
39044.812,13149
34375.773,13151
45932.156,13153
29053.645,13155
37851.887,13157
28636.086,13159
32960.062,13161
33034.44,13163
29038.69,13165
28234.273,13167
28439.639,13169
31252.8,13171
25118.416,13173
35826.754,13175
30450.262,13177
54418.867,13179
25889.748,13181
24626.69,13183
36055.316,13185
31289.115,13187
33183.953,13189
25327.324,13191
34470.566,13193
27625.639,13195
27539.979,13197
30731.77,13199
31049.316,13201
31824.312,13205
35791.688,13207
30867.49,13209
29769.158,13211
34155.836,13213
43189.21,13215
40293.918,13217
31564.123,13219
29004.682,13221
25362.785,13223
39004.32,13225
31357.63,13227
27686.24,13229
24974.938,13231
31705.459,13233
31980.93,13235
33570.902,13237
30820.473,13239
29258.834,13241
32049.408,13243
44252.902,13245
36128.39,13247
35829.6,13249
29894.25,13251
31299.975,13253
34911.117,13255
34081.418,13257
28451.188,13259
34651.254,13261
28463.31,13263
22726.191,13265
33653.117,13267
33829.934,13269
26071.928,13271
31404.34,13273
38085.535,13275
35518.28,13277
31615.97,13279
25846.713,13281
26043.373,13283
39241.855,13285
28074.209,13287
27761.34,13289
26966.129,13291
31688.137,13293
33237.734,13295
37127.19,13297
33088.426,13299
27674.574,13301
35175.33,13303
37737.6,13305
31197.674,13307
30625.445,13309
25144.395,13311
42951.973,13313
29790.484,13315
31115.572,13317
41590.68,13319
30965.271,13321
35716.97,15001
47923.9,15003
36467.695,15007
46838.047,16001
20821.47,16003
34381.25,16005
24172.928,16007
35478.22,16009
34459.145,16011
36947.953,16013
23930.375,16015
29371.621,16017
36997.87,16019
28234.848,16021
76822.63,16023
24784.81,16025
32109.871,16027
41948.48,16029
38278.31,16031
30889.975,16033
29899.557,16035
30727.63,16037
41358.21,16039
26916.723,16041
28829.623,16043
22223.613,16045
46159.945,16047
26082.28,16049
30582.514,16051
43001.938,16053
34953.6,16055
31203.56,16057
24262.994,16059
27104.975,16061
39603.836,16063
29682.746,16065
34808.883,16067
38941.46,16069
23262.389,16071
35923.65,16073
30241.434,16075
44031.496,16077
35629.137,16079
31478.736,16081
35023.76,16083
30106.092,16085
26062.867,16087
36725.664,17001
34673.176,17003
31731.29,17005
47846.316,17007
38640.246,17009
37917.312,17011
21241.482,17013
32129.615,17015
33195.14,17017
41683.55,17019
37562.906,17021
33258.203,17023
31488.47,17025
30676.803,17027
35695.52,17029
60926.375,17031
42049.773,17033
27452.633,17035
38530.426,17037
43079.67,17039
38563.805,17041
61167.773,17043
36734.582,17045
30122.467,17047
35345.664,17049
28282.209,17051
37765.086,17053
31617.037,17055
30881.746,17057
33562.25,17059
28904.809,17061
48352.17,17063
27188.459,17065
29586.482,17067
25003.809,17069
29045.215,17071
32358.797,17073
33034.0,17075
35801.316,17077
31962.824,17079
37602.316,17081
28479.674,17083
31180.3,17085
27282.656,17087
44918.56,17089
38618.035,17091
41257.133,17093
36551.14,17095
63313.43,17097
40059.07,17099
35616.15,17101
39242.832,17103
43100.473,17105
37122.832,17107
37430.184,17109
43837.906,17111
49142.27,17113
49851.418,17115
33440.49,17117
40271.152,17119
35839.777,17121
34391.105,17123
34958.023,17125
40104.84,17127
31925.252,17129
30531.88,17131
29243.42,17133
34158.863,17135
38179.45,17137
35892.297,17139
43223.04,17141
48678.33,17143
31732.713,17145
35545.105,17147
30653.568,17149
25956.938,17151
35934.516,17153
45506.56,17155
38030.707,17157
31643.674,17159
54252.51,17161
43877.438,17163
36542.58,17165
45692.594,17167
38707.1,17169
35680.76,17171
33948.918,17173
38298.023,17175
39426.062,17177
55183.36,17179
31714.072,17181
38892.316,17183
33878.73,17185
34459.87,17187
36916.543,17189
29184.818,17191
32658.568,17193
38744.906,17195
44694.76,17197
37373.266,17199
43396.184,17201
33829.66,17203
29903.227,18001
43933.074,18003
48165.223,18005
32777.312,18007
32235.877,18009
40531.473,18011
20597.982,18013
27911.26,18015
34945.434,18017
39332.367,18019
27764.277,18021
40041.566,18023
21955.572,18025
31289.92,18027
34358.27,18029
37248.785,18031
39761.15,18033
36816.047,18035
40663.676,18037
43319.035,18039
36947.016,18041
36769.688,18043
33581.4,18045
27377.736,18047
31725.021,18049
48454.37,18051
38350.094,18053
29316.873,18055
45101.777,18057
32484.365,18059
30315.48,18061
33188.25,18063
33851.52,18065
54224.824,18067
33426.527,18069
39449.848,18071
37145.406,18073
34079.496,18075
35478.11,18077
33542.973,18079
31499.57,18081
36466.49,18083
46555.01,18085
35187.7,18087
44568.45,18089
37221.312,18091
34709.402,18093
38330.477,18095
57058.484,18097
34874.555,18099
68501.3,18101
34625.656,18103
36782.305,18105
