vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,diag_hat_pi,hatP,hatQ,real_v,var_hatB,L,R,A,w,s_i,lambda_nn_given_n
1001,1.0016133385173294,0.9871839242912693,1.006785162217071,1.0056422863188148,0.9686282185191596,0.9866720969540136,1.0014402057303171,1.012465732363834,1.0041960374313443,0.006841322,19141,34240.34,0.8644279062575674,33467.38,0.21941306996165189,0.39693576
1003,1.001161745615296,0.9919835362895371,0.9950789598245079,1.0034660578500747,0.984233864,0.9941306479130687,1.0018835509311148,0.9985279610646518,1.0015795317903853,-0.001857312,92474,104695.4,0.8597576628290992,31443.09,0.26090314121360575,0.78817785
1005,1.0014938577913641,0.993607474,0.995504236,1.0025103143142335,0.9870161683906054,0.9932228953280108,1.001364631,0.998003265,1.0011441221985395,-0.002606909,14328,13461.86,0.8567939793410605,32658.99,0.13542463023352352,0.81205577
1007,1.0015640392236569,0.9769449617044317,1.005185683678448,1.0081090139306472,0.9671803707326183,0.9768692689947489,1.0015381718319314,1.0133367483902838,1.0065607505370435,0.006750571,6685,11974.73,0.8403719251931413,32004.64,0.12063588959206875,0.43550792
1009,1.0016760588789122,0.9764644501108224,1.0013259653115947,1.0124382793234175,0.9669324059713991,0.9761299625430523,1.0015616712181519,1.013780737361931,1.0108596489041328,0.005705786,19296,34892.78,0.5905177725361546,25252.64,0.13681846545803936,0.4495449
1011,1.0014993786123143,0.987946433,1.0012069769283296,1.005739035888964,0.9755286541323687,0.9874044700313199,1.0013162124538089,1.0069529397012025,1.0044170097119636,0.002775016,4243,5443.616,0.7667328134053039,30309.92,0.14861419543433407,0.5670603
1013,1.0014178162900755,0.9883397106893572,0.9952899895564093,1.0041237352287011,0.9847199688014481,0.988530785,1.0014823463157192,0.9993943019491167,1.002637479255325,-0.001957199,10091,11225.07,0.773012031,29931.52,0.11245408159394582,0.7705757
1015,1.0016503047675431,0.9963389367740257,0.9948815545060239,1.0015914438151117,0.9897860228349683,0.9951219806713312,1.0012423240976611,0.9964648526027112,1.0003486865357647,-0.003657089,66547,59988.89,1.0041100271132672,38750.28,0.15400187979560287,0.8655658
1017,1.001719877368191,0.9923443872100521,1.0037918015299903,1.0034595968114368,0.9761087153326129,0.9907330840093196,1.0011774081530378,1.0072645164459098,1.0022795047509203,0.003360139,14425,18379.5,0.7795469927313503,31488.6,0.155780643,0.5103369
1019,1.0017295785738436,0.9888580202786331,0.999189578,1.0042138590122036,0.9811717096566018,0.9871468220168589,1.0011514208735184,1.003400021613431,1.0030589160389076,0.000330767,8769,13494.39,0.6616735861127534,28277.11,0.11332715097533329,0.50243247
1021,1.0016765718355674,0.97348666,1.0038528654745962,1.0093170154668465,0.9676822898986035,0.9731188347321681,1.001550397199046,1.0132057781486612,1.0077545955645575,0.006149566,13529,23021.21,0.8034645574493046,31051.37,0.1413076758199372,0.5080578
1023,1.0013796772214425,0.9943359898445687,0.9960820844849116,1.0002665637130281,0.9884709953602604,0.994814221,1.0015401910141277,0.9963476038238327,0.9987283313115872,-0.002882618,5543,5484.59,1.3438837217053214,44881.47,0.11644230723461252,0.79322994
1025,1.0013656649317004,0.996982624,0.9934926890754646,1.0023377640951447,0.9891037668362004,0.9975362666603952,1.001550989532684,0.995815241,1.000785556173059,-0.003866369,13726,11772.39,0.874358655,32499.2,0.133500997,0.8690062
1027,1.001680738,0.9890861941028513,0.9966202462282039,1.0037974300938588,0.9847620650184167,0.9877345307496903,1.001224238421071,1.0004048419433798,1.0025700453245576,-0.001566248,6945,8244.683,0.7220737938977586,29671.27,0.10267624234529626,0.68342793
1029,1.0018080702516519,0.9882343222767357,1.002467907436111,1.0036904349161677,0.9780875727766634,0.9859359013285723,1.0010308038305917,1.0061674500040507,1.0026568923507633,0.002270226,4670,7366.398,0.7932940228188455,32368.31,0.10104618829318526,0.4318147
1031,1.001418777568165,0.9946634311314653,0.9961192465922881,1.0061048923434235,0.9810400746104637,0.9949046686975599,1.00149973,1.002200447353946,1.0045982665117226,-0.000559738,22782,26092.58,0.7532100738627158,29491.22,0.2043324688687006,0.6580857
1033,1.001478385527037,1.000483583545667,1.0003704359955643,0.9993420659137466,0.9845626796301941,1.0004029064753799,1.0014514657070352,0.9997122581868427,0.997893657,-0.000367159,29775,28109.06,1.0674837715672645,39405.81,0.1722035593706029,0.6601538
1035,1.001378317187843,0.9926077162877601,0.9965117268359897,1.0020776284704518,0.9855023483098712,0.9931447173038733,1.0015588666037754,0.9985821079708032,1.0005179544447902,-0.001829317,5824,6684.222,0.8609950238122929,32227.68,0.10216187507175002,0.64539087
1037,1.0016383463512766,0.9913460026028376,1.0041348616756995,1.0036689858620693,0.974897378,0.9903423357316341,1.0013002031661435,1.0078190182867985,1.0023657067964589,0.003868652,2581,5139.4,0.7996576150251983,31740.41,0.12427939865526054,0.28388616
1039,1.0013748522780477,0.9916764610348748,0.9944245984745294,1.0020408885749565,0.9882805511607804,0.9922205078967471,1.0015579413097595,0.9964541082762117,1.0004821960320793,-0.003332872,19389,19669.86,0.8107295329380899,30873.33,0.1361209529625717,0.86564875
1041,1.0014222199061975,0.9878480435656267,0.9996024889870988,1.004674522396598,0.9784859124171785,0.9878983879120251,1.0014392316625509,1.0042751532095642,1.0032306410930956,0.001329704,6229,7582.802,0.8562121400927813,32497.19,0.12291764499181865,0.62283933
1043,1.001579045233478,0.9867829801244452,0.995469858,1.0056869528510306,0.9826880136028087,0.9869435466080129,1.001633366972777,1.0011310478795092,1.0040469756818353,-0.001250374,42907,48670.2,0.797761991,31460.74,0.14196218458677265,0.76088643
