state_county_work,workplace_emp
13303,10700
13305,12805
13307,860
13309,1965
13311,11711
13313,74123
13315,2501
13317,4733
13319,3970
13321,6306
15001,101671
15003,623309
15007,44097
16001,281086
16003,2515
16005,48572
16007,3088
16009,5326
16011,22200
16013,22403
16015,2772
16017,25160
16019,62451
16021,5659
16023,9190
16025,711
16027,83626
16029,4872
16031,13679
16033,818
16035,4958
16037,2794
16039,14578
16041,5860
16043,5300
16045,6793
16047,8728
16049,8544
16051,10271
16053,11357
16055,78472
16057,21846
16059,4829
16061,2191
16063,2398
16065,19051
16067,9905
16069,27076
16071,2119
16073,4453
16075,10098
16077,4413
16079,6555
16081,5126
16083,46838
16085,7616
16087,4772
17001,44460
17003,2971
17005,7536
17007,23516
17009,4050
17011,18564
17013,1996
17015,7638
17017,8358
17019,128046
17021,16779
17023,8017
17025,8543
17027,18481
17029,34784
17031,3344392
17033,10849
17035,4803
17037,54445
17039,7832
17041,12107
17043,737209
17045,9016
17047,4687
17049,26410
17051,9741
17053,7773
17055,15213
17057,13564
17059,2241
17061,5011
17063,21819
17065,3258
17067,8996
17069,1838
17071,2654
17073,22765
17075,14736
17077,37955
17079,4250
17081,25910
17083,8708
17085,13727
17087,4532
17089,276238
17091,55450
17093,32213
17095,27630
17097,451190
17099,57964
17101,6539
17103,17856
17105,20981
17107,13327
17109,17639
17111,131522
17113,112793
17115,67943
17117,18123
17119,128253
17121,18462
17123,5666
17125,5527
17127,6448
17129,4281
17131,5693
17133,13487
17135,14333
17137,19766
17139,6583
17141,26363
17143,127686
17145,8373
17147,5986
17149,7176
17151,1254
17153,2993
17155,2744
17157,14916
17159,9452
17161,95516
17163,128994
17165,13093
17167,127265
17169,3479
17171,2152
17173,8281
17175,2275
17177,27517
17179,77324
17181,7369
17183,40118
17185,5459
17187,8498
17189,8076
17191,8089
17193,7656
17195,28958
17197,251221
17199,35184
17201,172581
17203,15792
18001,22775
18003,232342
18005,54641
18007,4522
18009,5753
18011,31584
18013,7338
18015,10818
18017,20250
18019,61029
18021,12485
18023,15205
18025,3849
18027,17053
18029,22885
18031,16050
18033,27808
18035,63880
18037,35109
18039,155177
18041,10909
18043,41083
18045,8268
18047,7627
18049,10939
18051,20820
18053,35439
18055,12292
18057,165989
18059,37769
18061,17047
18063,70932
18065,19713
18067,51258
18069,20402
18071,26171
18073,17771
18075,11296
18077,17908
18079,11321
18081,67456
18083,22187
18085,45536
18087,18082
18089,249140
18091,59405
18093,20506
18095,53054
18097,677809
18099,24919
18101,7728
18103,14703
18105,84439
18107,21476
18109,21174
18111,5819
18113,26294
18115,2484
18117,9818
18119,7619
18121,5729
18123,8980
18125,4357
18127,76600
18129,13100
18131,6856
18133,16791
18135,10464
18137,15656
18139,7693
18141,157794
18143,9275
18145,22381
18147,10276
18149,6684
18151,19302
18153,7903
18155,3533
18157,100589
18159,6162
18161,2738
18163,126865
18165,6612
18167,63992
18169,18958
18171,3111
18173,21560
18175,10083
18177,39569
18179,14824
18181,10540
18183,14902
19001,5280
19003,2708
19005,9484
19007,7050
19009,3802
19011,11471
19013,90445
19015,14493
19017,14501
19019,10044
19021,13620
19023,7099
19025,5873
19027,16459
19029,8981
19031,9665
19033,33432
19035,7914
19037,7652
19039,6637
19041,12796
19043,11085
19045,30908
19047,10841
19049,37562
19051,4179
19053,4314
19055,11170
19057,28000
19059,13016
19061,66780
19063,6614
19065,11398
19067,8797
19069,7075
19071,4968
19073,5419
19075,6295
19077,5278
19079,11073
19081,10032
19083,10696
19085,6703
19087,14141
19089,6972
19091,6477
19093,5335
19095,13370
19097,10215
19099,17076
19101,12147
19103,101765
19105,9924
19107,4863
19109,10563
19111,21523
19113,149957
19115,5940
19117,5212
19119,6597
19121,6855
19123,12050
19125,23280
19127,23867
19129,6384
19131,6045
19133,4988
19135,5033
19137,6660
19139,28893
19141,9393
19143,3653
19145,9250
19147,5625
19149,16070
19151,4435
19153,335472
19155,50089
19157,13832
19159,2902
19161,5695
19163,110095
19165,7733
19167,24593
19169,56444
19171,8198
19173,3138
19175,8461
19177,3618
19179,20829
19181,15053
19183,11134
19185,3428
19187,25111
19189,6759
19191,15656
19193,63998
19195,4004
19197,8127
20001,9356
20003,4201
20005,10666
20007,3448
20009,20339
20011,10103
20013,7429
20015,31182
20017,3153
20019,2392
20021,12147
20023,1699
20025,1719
20027,6702
20029,5749
20031,6547
20033,1242
20035,21211
20037,21278
20039,1968
20041,9765
20043,4160
20045,66413
20047,1909
20049,1504
20051,23552
20053,4119
20055,22682
20057,20630
20059,14642
20061,31796
20063,2225
20065,2967
20067,5201
20069,4283
20071,1143
20073,2892
20075,1865
20077,4222
20079,24461
20081,2339
20083,1208
20085,9561
20087,6233
20089,2151
20091,415125
20093,2104
20095,5366
20097,1883
20099,14852
20101,1479
20103,36083
20105,2145
20107,4209
20109,2191
20111,21321
20113,22951
20115,5851
20117,7757
20119,2558
20121,11651
20123,4522
20125,22004
20127,2399
20129,2292
20131,6768
20133,10626
20135,2649
20137,3716
20139,5531
20141,2693
20143,2668
20145,5109
20147,4247
20149,15367
20151,6808
20153,2726
20155,36944
20157,3605
20159,5041
20161,36396
20163,2997
20165,2181
20167,3873
20169,39394
20171,2947
20173,322044
20175,15134
20177,117652
20179,1760
20181,4151
20183,2445
20185,2443
20187,1464
20189,3161
20191,9656
20193,5039
20195,1781
20197,2889
20199,1098
20201,3301
20203,1519
20205,5884
20207,1398
20209,97794
21001,7858
21003,8119
21005,7831
21007,4393
21009,26533
21011,3639
21013,11834
21015,90664
21017,10557
21019,33974
21021,19950
21023,3036
21025,4847
21027,7125
21029,25699
21031,4671
21033,6492
21035,22551
21037,39797
21039,2031
21041,8861
21043,10388
21045,6824
21047,69845
21049,22167
21051,5784
21053,5294
21055,3793
21057,2944
21059,56933
21061,3117
21063,1751
21065,4037
21067,220659
21069,6245
21071,16089
21073,40162
21075,3393
21077,3245
21079,5498
21081,8787
21083,17766
21085,12021
21087,4391
21089,13293
21091,5182
21093,64964
21095,9945
21097,8605
21099,7957
21101,23390
21103,6500
21105,1777
21107,23710
21109,4172
21111,536451
21113,22703
21115,8686
21117,83635
21119,4978
21121,14679
21123,5537
21125,30616
21127,4710
21129,2684
21131,2814
21133,7653
21135,4182
21137,8105
21139,4090
