state_county_work,workplace_emp
45045,308547
45047,37720
45049,7753
45051,152730
45053,11018
45055,27048
45057,25500
45059,26836
45061,6472
45063,140488
45065,2879
45067,14850
45069,9756
45071,17548
45073,30467
45075,44721
45077,51407
45079,270630
45081,5948
45083,153470
45085,54399
45087,10236
45089,12116
45091,97376
46003,1685
46005,11174
46007,1572
46009,3349
46011,22933
46013,27758
46015,3469
46017,695
46019,5158
46021,1003
46023,5615
46025,2218
46027,11880
46029,21188
46031,1579
46033,5256
46035,15429
46037,3511
46039,3096
46041,2837
46043,1762
46045,2414
46047,3561
46049,1271
46051,5749
46053,2899
46055,1511
46057,2445
46059,2346
46061,1337
46063,998
46065,13286
46067,4275
46069,1001
46071,1312
46073,2032
46075,857
46077,2911
46079,7118
46081,16364
46083,23224
46085,2330
46087,2894
46089,1211
46091,2507
46093,17691
46095,791
46097,1489
46099,139771
46101,3597
46103,63222
46105,2173
46107,1470
46109,5425
46111,1263
46113,4780
46115,3678
46117,1845
46119,1022
46121,3571
46123,3825
46125,3956
46127,11845
46129,3623
46135,14502
46137,730
47001,52333
47003,27006
47005,7113
47007,4193
47009,62382
47011,49279
47013,15059
47015,5969
47017,13411
47019,21179
47021,17346
47023,6910
47025,14277
47027,4224
47029,12851
47031,33278
47033,6473
47035,26197
47037,555870
47039,6670
47041,9411
47043,24765
47045,24995
47047,22990
47049,8375
47051,16165
47053,22800
47055,14700
47057,7339
47059,37241
47061,5303
47063,40349
47065,248429
47067,2018
47069,10513
47071,13213
47073,18680
47075,8698
47077,12709
47079,16923
47081,7224
47083,3145
47085,8771
47087,7087
47089,20740
47091,6466
47093,304554
47095,1993
47097,9698
47099,18175
47101,4628
47103,15627
47105,19701
47107,27263
47109,10569
47111,9775
47113,69949
47115,10907
47117,13431
47119,43459
47121,6175
47123,18697
47125,64583
47127,2500
47129,6577
47131,18042
47133,8767
47135,3783
47137,1913
47139,4341
47141,43795
47143,15128
47145,21992
47147,29562
47149,137474
47151,9191
47153,4823
47155,53036
47157,644208
47159,8285
47161,4138
47163,94085
47165,57036
47167,17513
47169,5370
47171,7625
47173,4917
47175,2164
47177,19070
47179,78143
47181,6221
47183,16795
47185,11344
47187,117836
47189,52942
48001,26348
48003,7070
48005,49454
48007,10904
48009,4126
48011,1121
48013,17908
48015,18542
48017,3930
48019,8083
48021,25626
48023,2177
48025,12306
48027,185238
48029,988345
48031,7699
48033,442
48035,8100
48037,52956
48039,128627
48041,103362
48043,6312
48045,975
48047,3641
48049,22805
48051,7715
48053,26585
48055,12600
48057,13294
48059,5482
48061,167522
48063,5812
48065,6160
48067,13115
48069,3684
48071,13480
48073,24107
48075,3679
48077,5770
48079,1646
48081,1948
48083,5009
48085,415500
48087,1839
48089,12471
48091,54705
48093,8170
48095,1988
48097,27757
48099,22519
48101,1003
48103,2089
48105,2172
48107,2485
48109,1612
48111,5190
48113,1908106
48115,6580
48117,10061
48119,2366
48121,234571
48123,12078
48125,1455
48127,4373
48129,1967
48131,5660
48133,10762
48135,76018
48137,1491
48139,57531
48141,370990
48143,23187
48145,7709
48147,13785
48149,15613
48151,1994
48153,3388
48155,801
48157,219645
48159,6803
48161,10824
48163,6744
48165,7651
48167,136420
48169,3350
48171,16614
48173,699
48175,3291
48177,10649
48179,12863
48181,58709
48183,97256
48185,11588
48187,40429
48189,18674
48191,1778
48193,4464
48195,3243
48197,2212
48199,20867
48201,2625471
48203,32691
48205,2044
48207,3042
48209,70456
48211,3109
48213,30164
48215,297621
48217,16141
48219,12230
48221,18503
48223,18794
48225,10240
48227,16534
48229,1497
48231,43614
48233,10909
48235,1113
48237,5148
48239,7422
48241,18859
48243,1314
48245,155978
48247,2582
48249,23258
48251,64791
48253,8960
48255,6929
48257,39831
48259,15526
48261,444
48263,679
48265,30119
48267,3117
48269,260
48271,1344
48273,16155
48275,2040
48277,30685
48279,6713
48281,8170
48283,2926
48285,11392
48287,9680
48289,9502
48291,28905
48293,12616
48295,2014
48297,5342
48299,7368
48301,64
48303,163031
48305,2365
48307,4942
48309,135900
48311,594
48313,6273
48315,4110
48317,2365
48319,2709
48321,16372
48323,20035
48325,15891
48327,1374
48329,96373
48331,12125
48333,3166
48335,3797
48337,10440
48339,178873
48341,11909
48343,6518
48345,930
48347,30031
48349,25202
48351,3434
48353,8904
48355,201833
48357,6779
48359,1153
48361,32655
48363,13274
48365,13224
48367,50619
48369,6394
48371,7317
48373,17089
48375,105890
48377,2653
48379,4546
48381,38929
48383,2661
48385,1532
48387,5188
48389,5046
48391,3389
48393,573
48395,7223
48397,29586
48399,5398
48401,20199
48403,3776
48405,3017
48407,5656
48409,26782
48411,3494
48413,1775
48415,9112
48417,2255
48419,12097
48421,1474
48423,128070
48425,5950
48427,21091
48429,5343
48431,838
48433,1275
48435,3573
48437,3519
48439,1025897
48441,83218
48443,609
48445,5987
48447,1099
48449,21012
48451,64524
48453,765573
48455,4771
48457,6718
48459,11747
48461,1899
48463,13329
48465,24348
48467,19080
48469,53010
48471,29391
48473,18372
48475,5037
48477,21940
48479,112321
48481,21696
48483,3539
48485,81576
48487,9174
48489,5926
48491,159244
48493,12693
48495,3535
48497,31777
48499,15584
48501,4747
48503,12044
48505,5357
48507,4664
49001,3500
49003,27124
49005,64382
49007,12254
49009,688
49011,155278
49013,11115
49015,5788
49017,3462
49019,6711
49021,24335
49023,4950
49025,4575
49027,6630
49029,3720
49031,707
49033,1385
49035,761781
49037,6487
49039,11722
49041,11413
49043,34248
49045,21665
49047,19274
49049,257836
49051,11014
49053,74920
49055,1690
49057,123969
50001,25169
50003,26833
50005,18981
50007,123434
50009,2424
50011,24017
50013,2644
50015,16444
50017,14740
50019,15539
50021,40148
50023,45026
50025,33650
50027,36076
51001,18278
51007,5398
51009,14040
51011,5765
51013,199809
51017,2977
51021,3128
51023,17616
51025,6870
51027,10554
51029,6360
51033,10122
51036,2686
51037,5098
51041,169805
51043,7068
51045,1770
51047,21911
51049,2183
51051,5043
51057,5617
51061,36467
51063,6209
51065,6962
51067,22027
51071,6762
51073,15263
51075,18664
51077,4664
51079,5406
51083,17104
51085,58487
51087,217463
51091,1315
51093,16889
51097,2531
51099,15313
51101,5433
51103,7338
51105,9322
51107,169704
51109,17032
51111,4447
51113,6800
51115,4550
51117,17079
51119,5288
51125,5775
51127,5658
51131,7231
51133,4817
51135,7891
51137,12002
51139,8972
51141,7921
51145,10406
51147,11836
51155,18101
51157,4123
51159,3961
51167,11516
51169,8015
51171,20843
51173,17749
51179,45794
51181,3007
51183,4577
51185,22129
51187,16527
51193,6256
51197,15756
51510,121329
51550,125794
51650,81056
51700,118907
51710,225280
51740,57576
51760,177830
51770,80279
51800,33544
51810,256089
53001,8665
53003,8567
53005,90793
53007,51693
53009,36910
53011,189437
53013,1980
53015,48418
53017,12601
53019,2792
53021,30607
53023,1257
53025,40578
53027,33789
53029,37559
53031,14718
53033,1523857
53035,128045
53037,20566
53039,9820
53041,36177
53043,4842
53045,21555
53047,23807
53049,9869
53051,4467
53053,391194
53055,11054
53057,67144
53059,3284
53061,340020
53063,278576
53065,16408
53067,132349
53069,1629
53071,33203
53073,113881
53075,23040
53077,119077
54001,5656
54003,41667
54005,10453
54007,5896
54009,12040
54011,66728
54013,2833
54015,2997
54017,2834
54019,17077
54021,3184
54023,6167
54025,19014
54027,7775
54029,13458
54031,8452
54033,43179
54035,12730
54037,21176
54039,134461
54041,7905
54043,4710
54045,13561
54047,6320
54049,28125
54051,18208
54053,9747
54055,28848
54057,10177
54059,10278
54061,61260
54063,4303
54065,4925
54067,11399
54069,32450
54071,3416
54073,4583
54075,5013
54077,11794
54079,26131
54081,40657
54083,16108
54085,5216
54087,6035
54089,3885
54091,4562
54093,3679
54095,3409
54097,11600
54099,12055
54101,3186
54103,6150
54105,1488
54107,51265
54109,6699
55001,9770
55003,11849
55005,30886
55007,7561
55009,182953
55011,10210
55013,9011
55015,22995
55017,32146
55019,17897
55021,30898
55023,13075
55025,384607
55027,50197
55029,20456
55031,21387
55033,23705
55035,74079
55037,1585
55039,60227
55041,5321
55043,28322
55045,22763
55047,11095
55049,16760
55051,3805
55053,12593
55055,49629
55057,12824
55059,76329
55061,10084
55063,84179
55065,7235
55067,11471
55069,15955
55071,44569
55073,92386
55075,26575
55077,6067
55078,2345
55079,606464
55081,27264
55083,14676
55085,26768
55087,128027
55089,54156
55091,3517
55093,17687
55095,22779
55097,44410
55099,8806
55101,93856
55103,9844
55105,85759
55107,8381
55109,41377
55111,47240
55113,11244
55115,20219
55117,78633
55119,12312
55121,17429
55123,14448
55125,10637
55127,55579
55129,7515
55131,68491
55133,286600
55135,26833
55137,9171
55139,107567
55141,52293
56001,21450
56003,6676
56005,32351
56007,11036
56009,7772
56011,4169
56013,24198
56015,7317
56017,3154
56019,5907
56021,61223
56023,11036
56025,53521
56027,1741
56029,20268
56031,5696
56033,20152
56035,7673
56037,30707
56039,26940
56041,13218
56043,5639
56045,5127
