vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,hatP,hatQ,real_v,L,R
1001,1.0013737095806337,0.9911303715060104,1.0100338192267182,1.0050775874176736,0.9670100019332191,1.0007526768514208,1.0151623542386485,1.0043216577545013,19141,34240.34
1003,1.0009903968515248,0.9908454901402046,0.9975320975249136,1.0042502718778268,0.982097866920014,1.001172180069909,1.0017718801462532,1.0030744879544125,92474,104695.4
1005,1.001258499013337,0.9994607952065944,0.9985482659143654,1.0026353581689382,0.9847465376263627,1.0006561462351051,1.001179798244022,1.0019779141329215,14328,13461.86
1007,1.0012742165026782,0.9858953544548771,1.0074202491846194,1.007424422007728,0.966946413489252,1.0007926830262208,1.0148997622536964,1.0066264862783108,6685,11974.73
1009,1.001384308786236,0.982547651867647,1.0046806610785648,1.0115541875352536,0.9655709548232324,1.0007807259833559,1.016288929849709,1.0107650569921915,19296,34892.78
1011,1.0012551884858978,0.9957387156656851,1.0045397853403806,1.0056026345389244,0.9731942243993943,1.0006337367163132,1.0101678546374524,1.0049657508439773,4243,5443.616
1013,1.001188103147952,0.9919341422684078,0.998697230361223,1.0043040869530098,0.9819189732185358,1.0007787220031779,1.0029957100804279,1.0035226218067221,10091,11225.07
1015,1.001374028409825,1.001694469408766,0.9980036529668237,1.001052714362253,0.988080460695427,1.0005635523918541,0.9990542657458827,1.0004888864572665,66547,59988.89
1017,1.0014399185717449,1.0009312347701493,1.0076807256213787,1.0038538268412287,0.9721737423938439,1.0005485187456686,1.0115641526491672,1.0033034960660416,14425,18379.5
1019,1.0014424035925018,0.9905910769157086,1.0070952998567013,1.005337474654153,0.9710431566918646,1.000541360613794,1.0124706454940031,1.004793519017961,8769,13494.39
1021,1.0013842981509908,0.9800321148648703,1.0049734853647454,1.0080604295292124,0.9695701685098037,1.000811989373199,1.013074003322255,1.0072425592748473,13529,23021.21
1023,1.0011689474788565,1.0007601581479646,1.0009736173571462,0.9989835893732469,0.9857662253667268,1.0008013617804836,0.999956217135365,0.9981836831196924,5543,5484.59
1025,1.0011489825018303,1.0038887428088685,0.9960248341255606,1.0033990299701527,0.9863881832444364,1.0008145955308159,0.9994103523877699,1.0025823308841395,13726,11772.39
1027,1.0014071191922984,0.9921400190197278,1.0015030913965999,1.0050574289407113,0.9784001201252857,1.0005804062078634,1.006568122115241,1.0044744257483669,6945,8244.683
1029,1.0014851669522888,0.996205050486951,1.010179479151592,1.0041017700386623,0.9690146702767324,1.0004467625342621,1.0143230030728474,1.0036533753131867,4670,7366.398
1031,1.0012211921436627,0.9946817186346788,0.999945878210157,1.008410512405054,0.9750960370524966,1.0007911782174883,1.008355935423226,1.0076133107019754,22782,26092.58
1033,1.0012896777199662,1.0080190202679973,1.006157105156052,0.9977647365258278,0.9812555986743953,1.000681841123022,1.0039080789296178,0.997084883049421,29775,28109.06
1035,1.0011586357895486,0.9987754887680028,1.0034951655004174,1.0026381045707478,0.977638683148244,1.0008409305742734,1.0061424906832472,1.0017956639677428,5824,6684.222
1037,1.00138725034553,1.0018302090663957,1.0146018253754654,1.0037311469701828,0.9631996746409386,1.0006483402134347,1.0183874539021571,1.0030808093441603,2581,5139.4
1039,1.0011514745191095,0.9948489254697555,0.996903603991263,1.0019937122466818,0.9869998832923603,1.0008530772478137,0.9988911429153016,1.0011396627784817,19389,19669.86
1041,1.001192120106094,0.9958638178266624,1.0034293531644658,1.0041963587422253,0.9760262178896413,1.0007361156194976,1.007640102702823,1.0034576978573275,6229,7582.802
1043,1.0012908854055769,0.990561798486005,0.9986710007105997,1.005041380188446,0.9812444775142756,1.0008240849292604,1.0037056809083575,1.0042138227113944,42907,48670.2
1045,1.0012060682787303,1.0090461986706165,1.0085287499329132,0.9948351273196012,0.9818287897893705,1.0006393753044374,1.003319827344988,0.9941994607367212,28601,27658.99
1047,1.0012245695379507,0.9959135138199543,0.9963356683165302,1.0020818526137099,0.9880278125159463,1.0007718719980974,0.9984098923317474,1.001308970258124,21121,20560.31
1049,1.001378502868481,0.9936495391856282,0.9998116118430446,1.0025451999039638,0.9836572845101801,1.000630122556366,1.0023563322614895,1.001913871374075,36498,39879.15
1051,1.0014015625564492,0.9939460176321245,1.0088489273075092,1.0066855461172335,0.9666941516641185,1.000680294249288,1.0155936333363451,1.0060011693069768,27555,46354.68
1053,1.001123876949775,1.0010005681586103,0.9983299612887333,1.0014808841463263,0.9855959225159294,1.0009119896602443,0.9998083723012083,1.0005683761329256,17497,16607.42
1055,1.0013650008412558,0.9944712637157438,1.000135172614608,1.0019643625918155,0.9838399731659535,1.0006848269260848,1.002099800734451,1.00127866000493,49698,53860.16
1057,1.001227318228646,0.9932472385504606,1.0029746190139988,1.0053664968586469,0.9751917996683734,1.00075114520601,1.00835707915624,1.004611887455484,7581,9425.252
1059,1.0012802101521459,0.9969625712912319,1.002990076647866,1.003257593048834,0.9781317810900838,1.0007131874991788,1.0062574101496038,1.0025425922046793,15082,17020.97
1061,1.001208013919915,0.9865823831902368,1.0045775601910016,1.0062335173480765,0.9717733587485379,1.0008478054885321,1.0108396118399408,1.0053811496913014,10140,15110.85
1063,1.0012094301261665,0.999502203172165,1.003025624867698,1.0042133811417615,0.976494346665549,1.0007805247721657,1.0072517541202193,1.00343017902989,3519,3925.201
1065,1.0012279345145831,0.9876062585675723,1.0050069722667607,1.0043904650241562,0.9737687375607774,1.000785458132187,1.009419420227531,1.003602177532333,5637,8214.945
