NAME,state,county,pct_bachelors_plus
"Lafayette County, Florida",12,067,9.0
"Lake County, Florida",12,069,20.3
"Lee County, Florida",12,071,24.6
"Leon County, Florida",12,073,41.3
"Levy County, Florida",12,075,12.2
"Liberty County, Florida",12,077,15.1
"Madison County, Florida",12,079,10.6
"Manatee County, Florida",12,081,25.6
"Marion County, Florida",12,083,17.1
"Martin County, Florida",12,085,29.4
"Miami-Dade County, Florida",12,086,26.2
"Monroe County, Florida",12,087,28.7
"Nassau County, Florida",12,089,21.9
"Okaloosa County, Florida",12,091,26.8
"Okeechobee County, Florida",12,093,11.4
"Orange County, Florida",12,095,30.3
"Osceola County, Florida",12,097,18.3
"Palm Beach County, Florida",12,099,31.8
"Pasco County, Florida",12,101,20.0
"Pinellas County, Florida",12,103,27.1
"Polk County, Florida",12,105,18.0
"Putnam County, Florida",12,107,12.2
"St. Johns County, Florida",12,109,38.7
"St. Lucie County, Florida",12,111,17.8
"Santa Rosa County, Florida",12,113,24.7
"Sarasota County, Florida",12,115,29.1
"Seminole County, Florida",12,117,33.6
"Sumter County, Florida",12,119,19.0
"Suwannee County, Florida",12,121,10.2
"Taylor County, Florida",12,123,12.0
"Union County, Florida",12,125,9.3
"Volusia County, Florida",12,127,21.0
"Wakulla County, Florida",12,129,17.3
"Walton County, Florida",12,131,25.0
"Washington County, Florida",12,133,12.8
"Appling County, Georgia",13,001,8.3
"Atkinson County, Georgia",13,003,8.0
"Bacon County, Georgia",13,005,7.4
"Baker County, Georgia",13,007,12.2
"Baldwin County, Georgia",13,009,18.4
"Banks County, Georgia",13,011,10.5
"Barrow County, Georgia",13,013,14.9
"Bartow County, Georgia",13,015,16.5
"Ben Hill County, Georgia",13,017,12.3
"Berrien County, Georgia",13,019,10.8
"Bibb County, Georgia",13,021,23.1
"Bleckley County, Georgia",13,023,10.1
"Brantley County, Georgia",13,025,4.9
"Brooks County, Georgia",13,027,15.8
"Bryan County, Georgia",13,029,27.6
"Bulloch County, Georgia",13,031,25.2
"Burke County, Georgia",13,033,9.1
"Butts County, Georgia",13,035,9.1
"Calhoun County, Georgia",13,037,8.7
"Camden County, Georgia",13,039,20.4
"Candler County, Georgia",13,043,13.2
"Carroll County, Georgia",13,045,18.3
"Catoosa County, Georgia",13,047,17.3
"Charlton County, Georgia",13,049,7.2
"Chatham County, Georgia",13,051,29.0
"Chattahoochee County, Georgia",13,053,31.5
"Chattooga County, Georgia",13,055,8.0
"Cherokee County, Georgia",13,057,33.6
"Clarke County, Georgia",13,059,41.2
"Clay County, Georgia",13,061,8.5
"Clayton County, Georgia",13,063,17.9
"Clinch County, Georgia",13,065,17.1
"Cobb County, Georgia",13,067,43.8
"Coffee County, Georgia",13,069,11.0
"Colquitt County, Georgia",13,071,11.2
"Columbia County, Georgia",13,073,33.8
"Cook County, Georgia",13,075,10.4
"Coweta County, Georgia",13,077,25.7
"Crawford County, Georgia",13,079,13.6
"Crisp County, Georgia",13,081,11.7
"Dade County, Georgia",13,083,16.8
"Dawson County, Georgia",13,085,18.8
"Decatur County, Georgia",13,087,12.5
"DeKalb County, Georgia",13,089,38.7
"Dodge County, Georgia",13,091,13.8
"Dooly County, Georgia",13,093,9.6
"Dougherty County, Georgia",13,095,19.6
"Douglas County, Georgia",13,097,23.7
"Early County, Georgia",13,099,13.5
"Echols County, Georgia",13,101,6.1
"Effingham County, Georgia",13,103,15.5
"Elbert County, Georgia",13,105,9.6
"Emanuel County, Georgia",13,107,9.7
"Evans County, Georgia",13,109,13.4
"Fannin County, Georgia",13,111,16.2
"Fayette County, Georgia",13,113,41.5
"Floyd County, Georgia",13,115,17.9
"Forsyth County, Georgia",13,117,43.6
"Franklin County, Georgia",13,119,13.6
"Fulton County, Georgia",13,121,47.6
"Gilmer County, Georgia",13,123,13.4
"Glascock County, Georgia",13,125,10.5
"Glynn County, Georgia",13,127,26.4
"Gordon County, Georgia",13,129,12.7
"Grady County, Georgia",13,131,10.1
"Greene County, Georgia",13,133,18.9
"Gwinnett County, Georgia",13,135,34.9
"Habersham County, Georgia",13,137,18.7
"Hall County, Georgia",13,139,21.0
"Hancock County, Georgia",13,141,10.3
"Haralson County, Georgia",13,143,11.0
"Harris County, Georgia",13,145,27.4
"Hart County, Georgia",13,147,15.2
"Heard County, Georgia",13,149,7.3
"Henry County, Georgia",13,151,24.4
"Houston County, Georgia",13,153,24.4
"Irwin County, Georgia",13,155,9.2
"Jackson County, Georgia",13,157,17.7
"Jasper County, Georgia",13,159,13.3
"Jeff Davis County, Georgia",13,161,11.5
"Jefferson County, Georgia",13,163,8.7
"Jenkins County, Georgia",13,165,12.8
"Johnson County, Georgia",13,167,8.9
"Jones County, Georgia",13,169,17.2
"Lamar County, Georgia",13,171,9.7
"Lanier County, Georgia",13,173,9.4
"Laurens County, Georgia",13,175,15.9
"Lee County, Georgia",13,177,19.2
"Liberty County, Georgia",13,179,16.3
"Lincoln County, Georgia",13,181,9.7
"Long County, Georgia",13,183,9.1
"Lowndes County, Georgia",13,185,22.3
"Lumpkin County, Georgia",13,187,19.5
"McDuffie County, Georgia",13,189,11.5
"McIntosh County, Georgia",13,191,15.0
"Macon County, Georgia",13,193,10.7
"Madison County, Georgia",13,195,12.9
"Marion County, Georgia",13,197,6.8
"Meriwether County, Georgia",13,199,9.7
"Miller County, Georgia",13,201,9.4
"Mitchell County, Georgia",13,205,9.6
"Monroe County, Georgia",13,207,19.0
"Montgomery County, Georgia",13,209,15.5
"Morgan County, Georgia",13,211,23.8
"Murray County, Georgia",13,213,6.7
"Muscogee County, Georgia",13,215,21.6
"Newton County, Georgia",13,217,19.4
"Oconee County, Georgia",13,219,44.9
"Oglethorpe County, Georgia",13,221,11.7
"Paulding County, Georgia",13,223,20.8
"Peach County, Georgia",13,225,18.0
"Pickens County, Georgia",13,227,22.0
"Pierce County, Georgia",13,229,8.8
"Pike County, Georgia",13,231,15.7
"Polk County, Georgia",13,233,11.4
"Pulaski County, Georgia",13,235,5.6
"Putnam County, Georgia",13,237,18.8
"Quitman County, Georgia",13,239,7.4
"Rabun County, Georgia",13,241,24.7
"Randolph County, Georgia",13,243,13.1
"Richmond County, Georgia",13,245,20.3
"Rockdale County, Georgia",13,247,23.6
"Schley County, Georgia",13,249,8.7
"Screven County, Georgia",13,251,11.4
"Seminole County, Georgia",13,253,10.3
"Spalding County, Georgia",13,255,13.6
"Stephens County, Georgia",13,257,13.3
"Stewart County, Georgia",13,259,11.0
"Sumter County, Georgia",13,261,18.9
