1.8e+06	788287	376183	-249238
1.8e+06	788287	1.1e+06	-354678
1.8e+06	788287	-167448	-806221
1.8e+06	788287	1.6e+06	369094
1.8e+06	788287	465585	-774623
1.8e+06	788287	180381	-826736
1.8e+06	788287	847214	-404333
1.8e+06	788287	2.0e+06	810524
1.8e+06	788287	2.0e+06	709682
1.8e+06	788287	1.4e+06	728167
1.8e+06	788287	1.5e+06	-402201
1.8e+06	788287	1.4e+06	-145722
1.8e+06	788287	688895	520848
1.8e+06	788287	688895	520848
1.8e+06	788287	981898	239102
1.8e+06	788287	1.2e+06	537155
1.8e+06	788287	1.1e+06	351022
1.8e+06	788287	-138159	-1.1e+06
1.8e+06	788287	-74542.9	-527711
1.8e+06	788287	1.0e+06	315391
1.8e+06	788287	1.7e+06	346832
1.8e+06	788287	-761954	286830
1.8e+06	788287	1.1e+06	613371
1.8e+06	788287	-987176	-587359
1.8e+06	788287	836609	657345
1.8e+06	788287	1.4e+06	-36851.4
1.8e+06	788287	1.2e+06	-208293
1.8e+06	788287	1.9e+06	712584
1.8e+06	788287	60956.1	-863814
1.8e+06	788287	-1.5e+06	1.1e+06
1.8e+06	788287	834045	297467
1.8e+06	788287	325063	473089
1.8e+06	788287	1.4e+06	-696811
1.8e+06	788287	117577	181756
1.8e+06	788287	121790	180212
1.8e+06	788287	267422	-808344
1.8e+06	788287	-348170	-1.1e+06
1.8e+06	788287	-1.7e+06	16730.7
1.8e+06	788287	-2.0e+06	-148521
1.8e+06	788287	886054	132149
1.8e+06	788287	2.1e+06	1.4e+06
1.8e+06	788287	537270	-246426
1.8e+06	788287	1.6e+06	-1.2e+06
1.8e+06	788287	655141	648176
1.8e+06	788287	215255	840176
1.8e+06	788287	617576	-554017
1.8e+06	788287	746472	-729339
1.8e+06	788287	-1.1e+06	1.1e+06
1.8e+06	788287	820313	-109574
1.8e+06	788287	-323228	453980
1.8e+06	788287	2.0e+06	890038
1.8e+06	788287	-897374	-287041
1.8e+06	788287	571370	-825014
1.8e+06	788287	-1.9e+06	-179072
1.8e+06	788287	1.8e+06	580653
1.8e+06	788287	1.8e+06	572496
1.8e+06	788287	-378807	1.1e+06
1.8e+06	788287	-136422	-226572
1.8e+06	788287	1.4e+06	-889236
1.8e+06	788287	1.8e+06	467499
1.8e+06	788287	1.8e+06	467499
1.8e+06	788287	-1.5e+06	-328205
1.8e+06	788287	1.3e+06	442625
1.8e+06	788287	-2.1e+06	1.2e+06
1.8e+06	788287	1.5e+06	-51025.5
1.8e+06	788287	850874	-538779
1.8e+06	788287	-1.4e+06	-276733
1.8e+06	788287	-2.0e+06	172962
1.8e+06	788287	-831504	272604
1.8e+06	788287	1.9e+06	687140
1.8e+06	788287	1.4e+06	-986643
1.8e+06	788287	1.2e+06	-512943
1.8e+06	788287	553262	370342
1.8e+06	788287	830210	353257
1.8e+06	788287	-213094	172243
1.8e+06	788287	1.0e+06	101055
1.8e+06	788287	365842	-691666
1.8e+06	788287	1.6e+06	341740
1.8e+06	788287	2.0e+06	808988
1.8e+06	788287	706158	698815
1.8e+06	788287	100818	1.0e+06
1.8e+06	788287	312348	167716
1.8e+06	788287	-1.7e+06	334010
1.8e+06	788287	1.8e+06	493283
1.8e+06	788287	1.8e+06	572496
1.8e+06	788287	1.5e+06	-59367.5
1.8e+06	788287	1.1e+06	402700
1.8e+06	788287	-136422	-226572
1.8e+06	788287	-1.9e+06	958504
1.8e+06	788287	1.6e+06	569279
1.8e+06	788287	1.4e+06	-303930
1.8e+06	788287	845505	-180134
1.8e+06	788287	-366977	-610969
1.8e+06	788287	-1.3e+06	398575
1.8e+06	788287	1.5e+06	130657
1.8e+06	788287	-1.8e+06	1.4e+06
1.8e+06	788287	577630	725419
1.8e+06	788287	1.6e+06	162753
1.8e+06	788287	1.5e+06	777389
1.8e+06	788287	-2.2e+06	414561
1.8e+06	788287	-1.3e+06	476396
1.8e+06	788287	-241991	-898101
1.8e+06	788287	-2.0e+06	-316655
1.8e+06	788287	-2.2e+06	289706
1.8e+06	788287	1.4e+06	-496185
1.8e+06	788287	-2.0e+06	1.4e+06
1.8e+06	788287	-311867	730537
1.8e+06	788287	488192	139021
1.8e+06	788287	499943	141579
1.8e+06	788287	1.3e+06	-969133
1.8e+06	788287	-1.4e+06	-480586
1.8e+06	788287	644.165	-150804
1.8e+06	788287	1.8e+06	1.0e+06
1.8e+06	788287	1.8e+06	113114
1.8e+06	788287	1.6e+06	319736
1.8e+06	788287	1.5e+06	389107
1.8e+06	788287	1.5e+06	279833
1.8e+06	788287	1.3e+06	232471
1.8e+06	788287	-912370	678662
376183	-249238	1.8e+06	788287
